date,nav_raw,nav_q3z,nav_stack_base,nav_stack_comb_best,nav_ddc15_actual,pos_MA15_base,pos_comb_best,pos_ddc_base,pos_ddc_comb,dd_raw,rv_hi
2006-07-12,1.215284892514194,1.1055967721141235,1.0967794559821218,1.1205897667047622,1.215838384794621,0.2697371378121383,1.0,1.0,1.0,-0.002248575759802418,0.0
2006-07-13,1.1858084136652212,1.0983634965450715,1.0896038669756312,1.1205897667047622,1.1863484811070792,0.2697371378121383,0.0,1.0,1.0,-0.026448826198450237,0.0
2006-07-14,1.1871770933653747,1.098705455620622,1.0899430988713008,1.1205897667047622,1.187717784162014,0.2697371378121383,0.0,1.0,1.0,-0.025325137318115587,0.0
2006-07-17,1.1943954441873383,1.1005074129523191,1.0917306852968496,1.122427615907757,1.194939422527073,0.2697371378121383,1.0,1.0,1.0,-0.019398856280934407,0.0
2006-07-18,1.2010901936959106,1.10217128494323,1.0933812876349203,1.124124629348969,1.2016372211084967,0.2697371378121383,1.0,1.0,1.0,-0.013902453011006233,0.0
2006-07-19,1.1935078955486884,1.1002944975682367,1.0915194679479805,1.124124629348969,1.1940514696611322,0.2697371378121383,0.0,1.0,1.0,-0.020127535559143372,0.0
2006-07-20,1.199949570935089,1.1018963526574583,1.0931085479793552,1.124124629348969,1.200496078859696,0.2697371378121383,0.0,1.0,1.0,-0.01483890666984855,0.0
2006-07-21,1.200915071781676,1.102135503081109,1.0933457911390363,1.124124629348969,1.2014620194363157,0.2697371378121383,0.0,1.0,1.0,-0.014046228466802368,0.0
2006-07-24,1.2042911740797502,1.1029712581891198,1.094174880962576,1.124124629348969,1.2048396593545572,0.2697371378121383,0.0,1.0,1.0,-0.011274441458642204,0.0
2006-07-25,1.2073590434184207,1.103729155377282,1.0949267337959858,1.1248970618936993,1.2079089259310332,0.2697371378121383,1.0,1.0,1.0,-0.008755714351199262,0.0
2006-07-26,1.2095922137358026,1.104279821890056,1.0954730086527342,1.1254582893826037,1.210143113328887,0.2697371378121383,1.0,1.0,1.0,-0.0069222768761977305,0.0
2006-07-27,1.2043759254109951,1.1029952971080983,1.0941987281672212,1.1254582893826037,1.2049244492851527,0.2697371378121383,0.0,1.0,1.0,-0.011204860439428699,0.0
2006-07-28,1.201952482664885,1.1023966304052375,1.0936048359297983,1.1254582893826037,1.2024999028004375,0.2697371378121383,0.0,1.0,1.0,-0.013194511974134682,0.0
2006-07-31,1.179976328861955,1.0969598347638014,1.0882455374610822,1.1254582893826037,1.180513740125054,0.2680298326956071,0.0,1.0,1.0,-0.03123697995119723,0.0
2006-08-01,1.1735046519568355,1.0953472691544255,1.0866457821440205,1.1254582893826037,1.174030384531635,0.2680298326956071,0.0,1.0,1.0,-0.03655024014975583,0.0
2006-08-02,1.1671803368944016,1.0937650608964613,1.0850761430182323,1.1254582893826037,1.1682273997340948,0.2680298326956071,0.0,1.0,1.0,-0.041742515968994254,0.0
2006-08-03,1.1681138990855973,1.093999544496721,1.0853087638704308,1.1254582893826037,1.1690249844051217,0.2680298326956071,0.0,1.0,1.0,-0.04097605946844862,0.0
2006-08-04,1.1516317180100677,1.089862123005693,1.0812042102381858,1.1254582893826037,1.1539244974263676,0.2680298326956071,0.0,1.0,1.0,-0.05450796441023775,0.0
2006-08-07,1.1379195954986467,1.086383993393838,1.077753711041351,1.1254582893826037,1.1413270770670565,0.2680298326956071,0.0,1.0,1.0,-0.06576564550987063,0.0
2006-08-08,1.152747285445314,1.090178264978201,1.0815178407649226,1.1254582893826037,1.1563320749914556,0.2680298326956071,0.0,1.0,1.0,-0.05359208122580161,0.0
2006-08-09,1.148072182648982,1.088993212150596,1.0803422020492404,1.1254582893826037,1.151630628477783,0.2680298326956071,0.0,1.0,1.0,-0.05743035034462496,0.0
2006-08-10,1.1578251829489676,1.091472787734839,1.082802079775694,1.1254582893826037,1.1611066355537458,0.2680298326956071,0.0,1.0,1.0,-0.04942311681455602,0.0
2006-08-11,1.161006603057961,1.0922766359989315,1.0835995422337275,1.1254582893826037,1.1634014030014947,0.2680298326956071,0.0,1.0,1.0,-0.04681116428852106,0.0
2006-08-14,1.1449833803179523,1.0882361746231444,1.0795911784612917,1.1254582893826037,1.1466875874223637,0.2680298326956071,0.0,1.0,1.0,-0.05996626348233003,0.0
2006-08-15,1.1536715508502005,1.090449449975138,1.0817868714562848,1.1254582893826037,1.1552633378152617,0.2680298326956071,0.0,1.0,1.0,-0.05283325740615097,0.0
2006-08-16,1.162349887153335,1.0926480334822706,1.0839679893190803,1.1254582893826037,1.1637299588083705,0.2680298326956071,0.0,1.0,1.0,-0.04570832525252688,0.0
2006-08-17,1.1604598350204232,1.0921718214884102,1.0834955603742997,1.1254582893826037,1.1622841482715374,0.2680298326956071,0.0,1.0,1.0,-0.047260061984479296,0.0
2006-08-18,1.158611280395379,1.0917055098256068,1.0830329531119098,1.1254582893826037,1.1603949958977946,0.2680298326956071,0.0,1.0,1.0,-0.04877772917616796,0.0
2006-08-21,1.1631485833843138,1.0928514149622144,1.0841697551275784,1.1254582893826037,1.1649767578474834,0.2680298326956071,0.0,1.0,1.0,-0.04505259398580663,0.0
2006-08-22,1.1691432233028367,1.094361050668905,1.085667398221641,1.1270129673532607,1.1698693792271897,0.2680298326956071,1.0,1.0,1.0,-0.04013098214536037,0.0
2006-08-23,1.1729339167211967,1.0953120817432929,1.0866108742632339,1.1279923738777673,1.1731121748648996,0.2680298326956071,1.0,1.0,1.0,-0.03701881496520054,0.0
2006-08-24,1.1808602374728443,1.097295978701876,1.0885790110568891,1.1300354634018774,1.180777677643341,0.2680298326956071,1.0,1.0,1.0,-0.030511289143349996,0.0
