variant,code,buy_date,sell_date,days,ret,ann_ret,exit_action,status,group,buy_price,sell_price,mv_pct,dy_pct,roe,roa,vol20_pct,turnover20_pct,amount20_pct,amt_cv60_pct,ret120,ret120_pct,dist250h,is_delisted_code,st_snapshot
full,001210,2022-11-01,2023-01-03,63.0,0.152072,1.270863,SELL_REBAL,CLOSED,normal,9.126318,10.514174,0.015569,0.946586,0.15491,0.119622,0.439441,0.649068,0.093168,0.933754,0.036535,0.563863,-0.283899,0,0
full,001210,2023-03-01,2023-05-04,64.0,-0.023419,-0.126416,SELL_REBAL,CLOSED,normal,9.98788,9.753972,0.009131,0.957343,0.15491,0.119622,0.068217,0.296124,0.007752,0.959502,0.061552,0.388802,-0.199137,0,0
full,001696,2006-05-08,2006-11-01,177.0,0.8933,2.729643,SELL_REBAL,CLOSED,normal,0.618661,1.171312,0.148997,0.858951,0.33418,0.135042,0.713043,0.464789,0.452174,0.26087,0.12738,0.269565,-0.088539,0,0
full,002001,2009-05-04,2009-06-01,28.0,-0.043668,-0.44125,SELL_REBAL,CLOSED,normal,2.522438,2.412286,0.155705,0.998565,0.870833,0.477217,0.519231,0.592593,0.875,0.631068,0.279301,0.105769,-0.533603,0,0
full,002001,2017-05-02,2017-06-01,30.0,-0.050626,-0.468519,SELL_REBAL,CLOSED,normal,5.722971,5.43324,0.678359,0.92392,0.169258,0.118125,0.072761,0.048,0.592523,0.333333,-0.165569,0.559356,-0.264511,0,0
full,002003,2006-11-01,2007-11-01,365.0,2.142805,2.142805,SELL_REBAL,CLOSED,winner,0.72481,2.277937,0.009964,0.990542,0.223647,0.119271,0.24,0.478992,0.328,0.163934,0.538431,0.86087,-0.016357,0,0
full,002003,2008-02-01,2008-04-01,60.0,-0.116998,-0.530898,SELL_REBAL,CLOSED,normal,2.33199,2.059152,0.12966,0.989844,0.308932,0.153539,0.100559,0.070513,0.322222,0.853801,0.304025,0.840491,-0.057004,0,0
full,002003,2008-05-05,2008-06-02,28.0,-0.087664,-0.697593,SELL_REBAL,CLOSED,normal,2.162968,1.973354,0.110795,0.98486,0.240575,0.148362,0.192513,0.053892,0.229947,0.428571,-0.041096,0.595376,-0.299576,0,0
full,002003,2010-01-04,2010-03-01,56.0,0.119524,1.087336,SELL_REBAL,CLOSED,normal,2.486841,2.784078,0.144362,0.999343,0.19858,0.123318,0.926724,0.313901,0.474138,0.518018,0.199375,0.634615,-0.096471,0,0
full,002003,2016-11-01,2017-05-02,182.0,-0.069301,-0.13414,SELL_REBAL,CLOSED,normal,4.432978,4.125771,0.1246,0.998895,0.157019,0.127217,0.363265,0.228942,0.15102,0.678423,0.157692,0.634096,-0.214985,0,0
full,002003,2020-09-01,2021-02-01,153.0,0.015873,0.038284,SELL_REBAL,CLOSED,normal,3.726765,3.78592,0.316857,0.995808,0.157109,0.112679,0.136738,0.425987,0.300987,0.420965,0.139105,0.489933,-0.070122,0,0
full,002003,2021-03-01,2021-06-01,92.0,0.019131,0.078082,SELL_REBAL,CLOSED,normal,3.981132,4.057295,0.404065,0.991769,0.150774,0.113714,0.370192,0.296474,0.298077,0.467638,0.173623,0.803922,-0.12125,0,0
full,002003,2026-02-02,2026-05-06,93.0,-0.044248,-0.162739,SELL_REBAL,CLOSED,normal,9.75784,9.326078,0.652778,0.95186,0.150817,0.101258,0.163833,0.088235,0.260062,0.251192,-0.066434,0.241113,-0.204756,0,0
full,002004,2007-05-08,2007-06-01,24.0,0.114507,4.200565,SELL_REBAL,CLOSED,normal,1.989654,2.217483,0.078534,0.24979,0.205114,0.125837,0.697987,,0.206667,0.772414,2.646061,0.92126,-0.077017,0,0
full,002010,2006-07-03,2007-05-08,309.0,1.267206,1.629763,SELL_REBAL,CLOSED,winner,2.327333,5.276544,0.168539,0.739574,0.183949,0.15735,0.741379,0.875,0.568966,0.173913,0.029073,0.243478,-0.178281,0,0
full,002014,2007-11-01,2008-05-05,186.0,-0.044028,-0.084568,SELL_REBAL,CLOSED,normal,1.749159,1.672147,0.093932,0.9968,0.153406,0.107568,0.497076,0.341615,0.274854,0.248447,-0.105695,0.256579,-0.458108,0,0
full,002014,2020-09-01,2020-11-02,62.0,-0.142252,-0.594789,SELL_REBAL,CLOSED,normal,7.24599,6.215231,0.468441,0.961488,0.162415,0.114827,0.107084,0.041118,0.087171,0.382696,0.185649,0.555369,-0.136044,0,0
full,002014,2020-12-01,2021-01-04,34.0,-0.073239,-0.558036,SELL_REBAL,CLOSED,normal,6.534276,6.055709,0.428996,0.968582,0.169182,0.116194,0.052117,0.029364,0.094463,0.348039,-0.023881,0.567388,-0.232995,0,0
full,002014,2021-12-01,2022-03-01,90.0,0.063291,0.282595,SELL_REBAL,CLOSED,normal,5.608839,5.963829,0.359271,0.990826,0.160831,0.115557,0.0125,0.003125,0.003125,0.056693,0.0,0.301902,-0.138746,0,0
full,002014,2022-06-01,2022-07-01,30.0,0.010574,0.136525,SELL_REBAL,CLOSED,normal,5.421515,5.478842,0.447437,0.984062,0.161126,0.100333,0.099688,0.046802,0.043682,0.596154,-0.007182,0.710938,-0.093099,0,0
full,002014,2022-08-01,2022-09-01,31.0,0.14367,3.857849,SELL_REBAL,CLOSED,normal,5.757289,6.584438,0.507392,0.972131,0.17007,0.107178,0.718507,0.293935,0.267496,0.954331,0.113024,0.748438,-0.041916,0,0
full,002014,2023-05-04,2023-08-01,89.0,-0.020925,-0.083073,SELL_REBAL,CLOSED,normal,7.782423,7.619575,0.533951,0.946459,0.176087,0.107554,0.233385,0.15528,0.195652,0.440758,0.083759,0.660465,-0.069383,0,0
full,002014,2023-09-01,2023-10-09,38.0,-0.004494,-0.042344,SELL_REBAL,CLOSED,normal,7.628146,7.593862,0.556051,0.951546,0.183689,0.122117,0.128284,0.114374,0.119011,0.158631,0.061921,0.747678,-0.009912,0,0
full,002014,2023-11-01,2024-02-01,92.0,-0.047953,-0.177134,SELL_REBAL,CLOSED,normal,7.328162,6.976753,0.507074,0.960123,0.19025,0.123301,0.040185,0.137558,0.120556,0.117465,-0.031653,0.46677,-0.090308,0,0
full,002014,2024-05-06,2024-08-01,87.0,-0.103883,-0.368825,SELL_REBAL,CLOSED,normal,9.309768,8.342637,0.646704,0.96102,0.180878,0.105054,0.047913,0.066461,0.136012,0.436909,0.281174,0.948995,-0.05597,0,0
full,002014,2024-10-08,2025-04-01,175.0,0.18981,0.436895,SELL_REBAL,CLOSED,normal,9.047649,10.764985,0.591833,0.969586,0.182412,0.112566,0.012365,0.037094,0.083462,0.514729,0.001942,0.369397,-0.037313,0,0
full,002022,2006-05-08,2006-11-01,177.0,0.237458,0.551714,SELL_REBAL,CLOSED,normal,2.719357,3.365091,0.334288,0.973779,0.184953,0.133888,0.869565,0.929577,0.747826,0.026087,0.713228,0.852174,-0.058621,0,0
full,002022,2023-09-01,2023-10-09,38.0,0.030822,0.338543,SELL_REBAL,CLOSED,normal,8.76,9.03,0.553416,0.975876,0.217779,0.159022,0.343122,0.250386,0.176198,0.314152,-0.264529,0.085139,-0.336219,0,0
full,002025,2006-05-08,2006-09-01,116.0,-0.260997,-0.61391,SELL_REBAL,CLOSED,deep_loser,9.257904,6.841619,0.7383,0.847197,0.370125,0.295544,0.86087,0.732394,0.869565,0.104348,0.513357,0.721739,-0.151845,0,0
full,002027,2016-07-01,2017-01-03,186.0,-0.136502,-0.250242,SELL_REBAL,CLOSED,normal,6.852652,5.91725,0.339708,0.933904,0.771527,0.325507,0.547718,0.468182,0.644491,0.351064,0.035286,0.196203,-0.446642,0,0
full,002027,2024-11-01,2025-07-01,242.0,-0.006906,-0.010398,SELL_REBAL,CLOSED,normal,6.630464,6.584674,0.975085,0.982989,0.305749,0.21803,0.09119,0.03864,0.843895,0.225505,0.128075,0.423493,-0.098039,0,0
full,002027,2025-09-01,2026-08-14,347.0,-0.380297,-0.39549,SELL_FORCED_DELIST,CLOSED,deep_loser,8.197479,5.08,0.975488,0.90042,0.30908,0.200809,0.395672,0.061824,0.863988,0.012442,0.269923,0.536321,-0.073563,0,0
full,002028,2006-07-03,2007-06-01,333.0,1.644831,1.903947,SELL_REBAL,CLOSED,winner,2.918973,7.720189,0.173221,0.816327,0.218175,0.130163,0.810345,0.096154,0.241379,0.330435,0.413192,0.73913,-0.17023,0,0
full,002029,2007-05-08,2007-06-01,24.0,0.140282,6.363129,SELL_REBAL,CLOSED,normal,4.942173,5.635472,0.283595,0.860017,0.163561,0.105448,0.577181,0.008197,0.153333,0.958621,1.463623,0.598425,-0.1248,0,0
full,002033,2006-02-06,2006-05-08,91.0,0.192397,1.025459,SELL_REBAL,CLOSED,normal,1.777452,2.119428,0.180712,0.987687,0.203436,0.181546,0.208696,0.744444,0.391304,0.263158,-0.285701,0.043478,-0.382439,0,0
full,002033,2006-09-01,2007-08-01,334.0,0.918451,1.03804,SELL_REBAL,CLOSED,normal,2.652048,5.087825,0.139963,0.910044,0.157273,0.138604,0.918699,0.923077,0.634146,0.547826,0.435576,0.66087,-0.077736,0,0
full,002035,2014-06-03,2014-07-01,28.0,-0.020792,-0.23959,SELL_REBAL,CLOSED,normal,3.148291,3.082832,0.205139,0.917857,0.217249,0.122898,0.332558,0.341837,0.295349,0.193925,-0.021565,0.317073,-0.123959,0,0
full,002035,2015-04-01,2015-06-01,61.0,0.424785,7.317156,SELL_REBAL,CLOSED,normal,4.703734,6.701808,0.176923,0.941474,0.202384,0.11973,0.249458,0.404938,0.290672,0.827354,0.24926,0.171233,-0.058003,0,0
full,002035,2015-07-01,2015-09-01,62.0,-0.316447,-0.893515,SELL_REBAL,CLOSED,deep_loser,4.823902,3.297391,0.160131,0.989774,0.202384,0.11973,0.386892,0.498674,0.534884,0.034557,0.013089,0.142539,-0.409101,0,0
full,002035,2020-08-03,2020-11-02,91.0,-0.131879,-0.432917,SELL_REBAL,CLOSED,normal,8.811514,7.649464,0.691851,0.896772,0.183793,0.107372,0.61755,0.622296,0.713576,0.503333,-0.122383,0.117845,-0.171999,0,0
full,002038,2007-05-08,2007-06-01,24.0,0.097117,3.094296,SELL_REBAL,CLOSED,normal,3.521597,3.863604,0.146597,0.93881,0.158595,0.148572,0.845638,0.131148,0.353333,0.627586,3.040138,0.984252,-0.088729,0,0
full,002040,2006-02-06,2006-05-08,91.0,0.0,0.0,SELL_REBAL,CLOSED,normal,3.314075,3.314075,0.494382,0.992964,0.290431,0.23946,0.626087,0.8,0.686957,0.27193,-0.229526,0.06087,,0,0
full,002043,2023-11-01,2024-02-01,92.0,-0.007269,-0.028529,SELL_REBAL,CLOSED,normal,8.242096,8.182184,0.600445,0.96814,0.229687,0.121481,0.451314,0.625966,0.605873,0.717156,-0.045995,0.423493,-0.436446,0,0
full,002043,2024-05-06,2024-08-01,87.0,-0.108221,-0.381544,SELL_REBAL,CLOSED,normal,9.397529,8.380517,0.720056,0.992857,0.242739,0.152198,0.62442,0.760433,0.791345,0.72082,0.258273,0.931994,-0.083456,0,0
full,002043,2025-02-05,2025-09-01,208.0,0.067516,0.121481,SELL_REBAL,CLOSED,normal,9.66558,10.318166,0.667401,0.986683,0.246532,0.133818,0.431221,0.404946,0.474498,0.25,0.236515,0.381762,-0.146945,0,0
full,002044,2006-02-06,2006-05-08,91.0,-0.007407,-0.029381,SELL_REBAL,CLOSED,normal,0.561484,0.557325,0.074906,0.998241,0.193455,0.143679,0.721739,0.844444,0.504348,0.385965,-0.213054,0.095652,,0,0
full,002044,2013-05-02,2013-06-03,32.0,0.31989,22.70738,SELL_REBAL,CLOSED,normal,1.65285,2.18158,0.218182,0.968639,0.156619,0.111074,0.878049,0.725441,0.7,0.956098,0.269966,0.392683,-0.198772,0,0
full,002044,2014-04-01,2014-06-03,63.0,-0.034483,-0.183972,SELL_REBAL,CLOSED,normal,1.744171,1.684027,0.109168,0.969942,0.158058,0.107812,0.109302,0.2525,0.14186,0.508197,-0.132374,0.158537,-0.261029,0,0
full,002044,2014-08-01,2014-10-08,68.0,0.38292,4.69835,SELL_REBAL,CLOSED,normal,2.000449,2.766462,0.070064,0.734071,0.158058,0.107812,0.318707,0.617722,0.374134,0.806527,0.189561,0.576744,-0.051282,0,0
full,002046,2006-11-01,2007-05-08,188.0,0.512586,1.233184,SELL_REBAL,CLOSED,normal,3.910241,5.914575,0.34058,0.676698,0.163081,0.134036,0.472,0.411765,0.392,0.139344,-0.083676,0.13913,-0.256125,0,0
full,002049,2006-11-01,2007-05-08,188.0,0.385889,0.88436,SELL_REBAL,CLOSED,normal,2.487211,3.446997,0.144928,0.773001,0.151855,0.102685,0.496,0.781513,0.448,0.106557,0.221054,0.678261,-0.051195,0,0
full,002050,2006-06-01,2007-05-08,341.0,0.939506,1.032073,SELL_REBAL,CLOSED,normal,0.696446,1.350762,0.020542,0.982301,0.231154,0.136913,0.226087,0.747368,0.330435,0.278261,0.067599,0.147826,-0.331332,0,0
full,002050,2008-11-03,2009-04-01,149.0,1.059925,4.872604,SELL_REBAL,CLOSED,winner,0.702741,1.447594,0.059426,0.980378,0.254627,0.160007,0.403846,0.271357,0.245192,0.61194,-0.535152,0.274611,-0.707983,0,0
full,002050,2009-06-01,2010-06-01,365.0,0.653204,0.653204,SELL_REBAL,CLOSED,winner,1.385854,2.291099,0.026052,0.998572,0.213398,0.123899,0.028846,0.213198,0.100962,0.427184,0.254861,0.139423,-0.166399,0,0
full,002052,2006-11-01,2007-03-01,120.0,0.27325,1.085032,SELL_REBAL,CLOSED,normal,3.990163,5.080476,0.192935,0.629837,0.285013,0.175483,0.76,0.739496,0.512,0.483607,,,,0,0
full,002056,2007-06-01,2007-09-03,94.0,0.222299,1.180261,SELL_REBAL,CLOSED,normal,2.870297,3.508361,0.11841,0.965947,0.205854,0.148606,0.394737,0.23741,0.5,0.027397,0.580192,0.348148,,0,0
full,002061,2008-03-03,2008-05-05,63.0,-0.428852,-0.961034,SELL_REBAL,CLOSED,deep_loser,5.609921,3.204096,0.121261,0.976599,0.27195,0.147016,0.630435,0.602339,0.320652,0.153409,-0.305816,0.221557,-0.477586,0,0
full,002062,2007-09-03,2007-11-01,59.0,-0.016393,-0.097203,SELL_REBAL,CLOSED,normal,2.633407,2.590236,0.065712,0.922204,0.241311,0.107118,0.380368,0.566667,0.368098,0.880795,0.356835,0.405405,-0.173725,0,0
full,002062,2007-12-03,2008-05-05,154.0,-0.072472,-0.163316,SELL_REBAL,CLOSED,normal,2.574917,2.388309,0.083607,0.883886,0.28539,0.112643,0.358382,0.69375,0.433526,0.963636,0.591084,0.792208,-0.00385,0,0
full,002063,2007-08-01,2009-06-01,670.0,0.113969,0.06056,SELL_REBAL,CLOSED,normal,1.305871,1.454699,0.012744,0.995915,0.216331,0.192167,0.454545,0.326531,0.116883,0.106667,0.453763,0.306122,-0.132694,0,0
full,002064,2007-05-08,2007-07-02,55.0,0.043254,0.324471,SELL_REBAL,CLOSED,normal,4.784876,4.99184,0.122164,0.785415,0.2202,0.171073,0.208054,0.532787,0.653333,0.717241,3.405529,1.0,,0,0
