date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2014-03-03,14,14,601515|000848|601633|600809|600816|002016|300039|600067|600252|600658|600201|002275|000690|002415,000690|000848|002016|002275|002415|300039|600067|600201|600252|600658|600809|600816|601515|601633,,
2014-04-01,13,13,601515|000848|601633|600809|600816|300039|000690|600067|600658|600201|600252|300026|002415,000690|000848|002415|300026|300039|600067|600201|600252|600658|600809|600816|601515|601633,,002016|002275
2014-05-05,2,2,600816|000848,000848|600816,,601515|601633|600809|300039|000690|600067|600658|600201|600252|002415|300026
2014-06-03,2,2,600816|000848,000848|600816,,
2014-07-01,1,1,000848,000848,,600816
2014-08-01,2,2,600816|000848,000848|600816,,
2014-09-01,5,5,600816|603288|300017|600201|000848,000848|300017|600201|600816|603288,,
2014-10-08,4,4,600816|603288|300017|000848,000848|300017|600816|603288,,600201
2014-11-03,20,20,002701|600816|300146|603288|002595|300360|000848|002271|300017|002508|600201|000672|002158|600398|002440|600252|300039|600197|600658|000600,000600|000672|000848|002158|002271|002440|002508|002595|002701|300017|300039|300146|300360|600197|600201|600252|600398|600658|600816|603288,,
2014-12-01,20,20,002701|600816|002595|603288|000848|002271|300017|002508|002158|600201|600398|000672|002440|600252|300039|002410|600197|600658|000600|600352,000600|000672|000848|002158|002271|002410|002440|002508|002595|002701|300017|300039|600197|600201|600252|600352|600398|600658|600816|603288,,300146|300360
2015-01-05,20,20,002701|600816|300146|002595|603288|300360|000848|002271|300017|300357|002508|002158|600201|600398|300039|000672|002440|300026|002410|600252,000672|000848|002158|002271|002410|002440|002508|002595|002701|300017|300026|300039|300146|300357|300360|600201|600252|600398|600816|603288,,600197|600658|000600|600352
2015-02-02,18,18,002701|600816|002595|300360|000848|002271|002158|300017|002508|000672|300039|600398|600252|600658|600197|000600|600352|002415,000600|000672|000848|002158|002271|002415|002508|002595|002701|300017|300039|300360|600197|600252|600352|600398|600658|600816,,603288|600201|002440|002410|300146|300357|300026
2015-03-02,14,14,002701|600816|002595|000848|002271|002158|000672|300039|600398|600252|600197|600658|000600|600352,000600|000672|000848|002158|002271|002595|002701|300039|600197|600252|600352|600398|600658|600816,,300360|300017|002508|002415
2015-04-01,9,9,002701|600816|002271|000848|002158|300039|600252|600658|600398,000848|002158|002271|002701|300039|600252|600398|600658|600816,,002595|000672|600197|000600|600352
2015-05-04,1,1,000848,000848,,002701|600816|002271|002158|300039|600252|600658|600398
2015-06-01,1,1,600452,600452,,000848
2015-07-01,2,2,600452|000848,000848|600452,,
2015-08-03,2,2,600452|000848,000848|600452,,
2015-09-01,3,3,600816|600452|000848,000848|600452|600816,,
2015-10-08,3,3,600452|600816|000848,000848|600452|600816,,
2015-11-02,12,12,600816|002749|600452|002701|300432|300015|000848|603369|600398|601515|600352|600674,000848|002701|002749|300015|300432|600352|600398|600452|600674|600816|601515|603369,,
2015-12-01,10,10,600816|600452|002701|300432|300015|600398|000848|601515|600352|600674,000848|002701|300015|300432|600352|600398|600452|600674|600816|601515,,002749|603369
2016-01-04,10,10,600816|002749|002701|300432|600398|300015|000848|601515|600352|600674,000848|002701|002749|300015|300432|600352|600398|600674|600816|601515,,600452
2016-02-01,14,14,600816|002749|002701|000895|300432|600398|000848|002595|300015|603369|601515|600352|600674|002415,000848|000895|002415|002595|002701|002749|300015|300432|600352|600398|600674|600816|601515|603369,,
2016-03-01,12,12,600816|002749|002701|000895|600398|000848|300357|300015|603369|601515|600352|600674,000848|000895|002701|002749|300015|300357|600352|600398|600674|600816|601515|603369,,300432|002595|002415
2016-04-01,10,10,600816|002749|600452|002701|600398|300015|000848|601515|600352|600674,000848|002701|002749|300015|600352|600398|600452|600674|600816|601515,,000895|603369|300357
2016-05-03,0,0,,,,600816|002749|002701|600398|300015|000848|601515|600352|600674|600452
2016-06-01,1,0,300432,,300432,
2016-07-01,0,0,,,,
2016-08-01,0,0,,,,
2016-09-01,5,5,002714|002027|002124|600816|000848,000848|002027|002124|002714|600816,,
2016-10-10,5,5,002714|002027|002124|600816|000848,000848|002027|002124|002714|600816,,
2016-11-01,11,11,002372|002714|002027|300015|600816|600398|002124|300432|000848|600688|601633,000848|002027|002124|002372|002714|300015|300432|600398|600688|600816|601633,,
2016-12-01,12,12,002372|002714|002027|300015|002124|600816|600398|002709|300432|000848|600688|601633,000848|002027|002124|002372|002709|002714|300015|300432|600398|600688|600816|601633,,
2017-01-03,13,13,002372|002714|300015|002027|002124|600816|600398|002709|300432|000848|002108|600366|601633,000848|002027|002108|002124|002372|002709|002714|300015|300432|600366|600398|600816|601633,,600688
2017-02-03,14,14,002714|002372|300015|603866|002124|300432|300357|002709|600398|600816|002108|600366|000848|002027,000848|002027|002108|002124|002372|002709|002714|300015|300357|300432|600366|600398|600816|603866,,601633
2017-03-01,12,12,002372|002714|300015|002124|300432|002709|600398|002108|600816|600366|000848|002027,000848|002027|002108|002124|002372|002709|002714|300015|300432|600366|600398|600816,,603866|300357
2017-04-05,10,10,300015|002714|002372|002124|600816|002027|002709|000848|600366|600398,000848|002027|002124|002372|002709|002714|300015|600366|600398|600816,,300432|002108
2017-05-02,0,0,,,,300015|002714|002372|002124|600816|002027|002709|000848|600366|600398
2017-06-01,0,0,,,,
2017-07-03,0,0,,,,
2017-08-01,1,1,000036,000036,,
2017-09-01,2,2,002027|000036,000036|002027,,
2017-10-09,2,2,002027|000036,000036|002027,,
2017-11-01,17,17,002749|600507|000036|002867|600641|300595|002714|002372|603866|603568|300015|000848|002648|600398|002050|002027|601225,000036|000848|002027|002050|002372|002648|002714|002749|002867|300015|300595|600398|600507|600641|601225|603568|603866,,
2017-12-01,20,20,002749|600507|002867|000036|300595|002714|600641|002372|603866|300640|000848|603568|002110|300015|002648|600398|002108|002050|002027|601225,000036|000848|002027|002050|002108|002110|002372|002648|002714|002749|002867|300015|300595|300640|600398|600507|600641|601225|603568|603866,,
2018-01-02,17,17,002749|600507|000036|002867|300595|002372|300640|603866|002110|603568|000848|300015|002648|002108|600398|002027|601225,000036|000848|002027|002108|002110|002372|002648|002749|002867|300015|300595|300640|600398|600507|601225|603568|603866,,002714|600641|002050
2018-02-01,16,16,002749|600507|600161|002867|300595|300640|000036|603866|600641|603568|000848|002372|300015|002648|002108|002027,000036|000848|002027|002108|002372|002648|002749|002867|300015|300595|300640|600161|600507|600641|603568|603866,,002110|600398|601225
2018-03-01,17,17,002749|600161|600507|000036|002867|600641|300595|603866|000848|002372|603568|300015|002648|002108|600398|002027|601225,000036|000848|002027|002108|002372|002648|002749|002867|300015|300595|600161|600398|600507|600641|601225|603568|603866,,300640
2018-04-02,18,18,002749|600507|000036|600641|002714|300595|300640|002110|000848|603568|002372|002648|300015|002108|002050|002027|600398|601225,000036|000848|002027|002050|002108|002110|002372|002648|002714|002749|300015|300595|300640|600398|600507|600641|601225|603568,,600161|002867|603866
2018-05-02,1,1,002709,002709,,002749|600507|000036|600641|300595|000848|603568|002372|002648|300015|002108|002027|600398|601225|002714|300640|002110|002050
2018-06-01,2,2,002709|300251,002709|300251,,
2018-07-02,1,1,300251,300251,,002709
2018-08-01,2,2,002709|300251,002709|300251,,
2018-09-03,6,6,600507|002749|002110|002709|300121|300251,002110|002709|002749|300121|300251|600507,,
2018-10-08,7,7,600507|002749|002110|600516|002709|300121|300251,002110|002709|002749|300121|300251|600507|600516,,
2018-11-01,20,20,600507|002749|600516|002110|603871|600738|300272|002833|000848|603025|002677|000789|002709|002867|300121|601003|603638|300595|603701|603357,000789|000848|002110|002677|002709|002749|002833|002867|300121|300272|300595|600507|600516|600738|601003|603025|603357|603638|603701|603871,,300251
2018-12-03,20,20,600507|002749|002110|600516|600738|603871|300272|002833|601003|603025|002677|000789|002867|300121|000848|603638|002709|300595|603701|603027,000789|000848|002110|002677|002709|002749|002833|002867|300121|300272|300595|600507|600516|600738|601003|603025|603027|603638|603701|603871,,603357
2019-01-02,20,20,600507|002749|002110|600516|600738|603871|300272|002833|603025|601003|002677|000789|300121|002867|000672|000848|002709|603638|603701|300595,000672|000789|000848|002110|002677|002709|002749|002833|002867|300121|300272|300595|600507|600516|600738|601003|603025|603638|603701|603871,,603027
2019-02-01,20,20,600507|002749|002110|600516|600738|603871|603025|300272|002833|601003|000789|000848|300121|002677|002867|603638|603701|002709|300595|603357,000789|000848|002110|002677|002709|002749|002833|002867|300121|300272|300595|600507|600516|600738|601003|603025|603357|603638|603701|603871,,000672
2019-03-01,20,20,600507|002749|002110|600516|603871|600738|603025|601003|000789|000848|002867|002677|300121|603638|603701|603357|002709|600596|603568|603027,000789|000848|002110|002677|002709|002749|002867|300121|600507|600516|600596|600738|601003|603025|603027|603357|603568|603638|603701|603871,,300272|002833|300595
2019-04-01,20,20,600738|600507|002749|002110|603871|603025|601003|000848|300121|000789|603638|002709|603701|603357|603568|600596|603027|600282|600782|600598,000789|000848|002110|002709|002749|300121|600282|600507|600596|600598|600738|600782|601003|603025|603027|603357|603568|603638|603701|603871,,600516|002867|002677
2019-05-06,0,0,,,,600738|600507|002749|002110|603871|603025|601003|000848|300121|000789|603638|002709|603701|603357|603568|600596|603027|600282|600782|600598
2019-06-03,1,1,002458,002458,,
2019-07-01,1,1,002458,002458,,
2019-08-01,0,0,,,,002458
2019-09-02,2,2,002746|000672,000672|002746,,
2019-10-08,3,3,002458|002746|000672,000672|002458|002746,,
2019-11-01,20,20,600507|002884|000672|603360|002110|603871|002746|000789|002833|300638|002867|300107|002749|603505|000848|603519|600995|600338|603568|600720,000672|000789|000848|002110|002746|002749|002833|002867|002884|300107|300638|600338|600507|600720|600995|603360|603505|603519|603568|603871,,002458
2019-12-02,20,20,600507|002884|603360|000672|603871|002110|002746|000789|002677|002833|002867|300107|002749|000848|603505|603519|600995|600338|603568|002372,000672|000789|000848|002110|002372|002677|002746|002749|002833|002867|002884|300107|600338|600507|600995|603360|603505|603519|603568|603871,,300638|600720
2020-01-02,15,15,600507|002884|603360|002746|603871|002110|000789|002867|300107|000848|002749|603505|603519|600995|601225,000789|000848|002110|002746|002749|002867|002884|300107|600507|600995|601225|603360|603505|603519|603871,,000672|002833|600338|603568|002677|002372
