date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2011-12-01,20,20,300235|002458|002533|002293|002493|002252|002236|002408|002153|002378|000685|002158|000848|000708|300003|601233|600395|600195|002001|000726,000685|000708|000726|000848|002001|002153|002158|002236|002252|002293|002378|002408|002458|002493|002533|300003|300235|600195|600395|601233,,000338
2012-01-04,20,20,300235|002458|002533|002493|002252|002153|002408|002236|002378|000685|601678|002158|000848|000708|300003|601233|600395|600499|600195|002001,000685|000708|000848|002001|002153|002158|002236|002252|002378|002408|002458|002493|002533|300003|300235|600195|600395|600499|601233|601678,,002293|000726
2012-02-01,20,20,300235|002458|002493|002293|002533|002252|002153|002236|002408|002378|002158|000685|000848|000708|300003|601233|600499|600252|600195|600395,000685|000708|000848|002153|002158|002236|002252|002293|002378|002408|002458|002493|002533|300003|300235|600195|600252|600395|600499|601233,,002001|601678
2012-03-01,20,20,300235|002458|002493|002293|002252|002533|002153|002236|002408|002378|002158|000685|000848|300003|000708|601233|600195|002038|002001|000726,000685|000708|000726|000848|002001|002038|002153|002158|002236|002252|002293|002378|002408|002458|002493|002533|300003|300235|600195|601233,,600499|600395|600252
2012-04-05,20,20,300235|002458|002653|002493|002614|002293|002533|002252|002153|002236|002408|601678|002158|000685|000848|300003|000708|601233|600499|600195,000685|000708|000848|002153|002158|002236|002252|002293|002408|002458|002493|002533|002614|002653|300003|300235|600195|600499|601233|601678,,002378|002038|002001|000726
2012-05-02,0,0,,,,300235|002458|002493|002293|002533|002252|002153|002236|002408|002158|000685|000848|300003|000708|601233|600195|002653|002614|601678|600499
2012-06-01,0,0,,,,
2012-07-02,0,0,,,,
2012-08-01,2,2,601388|603366,601388|603366,,
2012-09-03,1,1,601515,601515,,601388|603366
2012-10-08,3,3,300326|601515|300333,300326|300333|601515,,
2012-11-01,20,20,300346|601515|300298|300026|002653|300058|600403|002252|601633|000848|002236|002415|600252|002242|600216|002022|000550|600123|600395|601088,000550|000848|002022|002236|002242|002252|002415|002653|300026|300058|300298|300346|600123|600216|600252|600395|600403|601088|601515|601633,,300326|300333
2012-12-03,20,20,300346|300288|300295|300298|601515|300026|002653|300058|002252|600403|000848|601633|002236|600252|002415|002242|600366|000999|600216|002022,000848|000999|002022|002236|002242|002252|002415|002653|300026|300058|300288|300295|300298|300346|600216|600252|600366|600403|601515|601633,,000550|600123|600395|601088
