date,open,close,high,low,vol
2023-10-10,131.956,131.899,132.009,131.893,27877.000
2023-10-11,131.860,131.659,131.882,131.610,23312.000
2023-10-12,131.609,131.640,131.680,131.460,34944.000
2023-10-13,131.644,131.749,131.777,131.644,25687.000
2023-10-16,131.799,131.763,131.900,131.741,47490.000
2023-10-17,131.733,131.698,131.737,131.666,40160.000
2023-10-18,131.698,131.673,131.723,131.657,28848.000
2023-10-19,131.627,131.438,131.653,130.226,42310.000
2023-10-20,131.438,131.540,131.579,131.438,29304.000
2023-10-23,131.600,131.662,131.675,131.598,35683.000
2023-10-24,131.632,131.600,131.647,131.544,27500.000
2023-10-25,131.601,131.754,131.779,131.532,19847.000
2023-10-26,131.756,131.910,131.921,131.756,28836.000
2023-10-27,131.910,131.850,131.975,131.833,27313.000
2023-10-30,131.847,132.026,132.069,131.847,26887.000
2023-10-31,132.001,132.066,132.123,132.001,27278.000
2023-11-01,132.150,132.093,132.150,132.051,27528.000
2023-11-02,132.096,132.191,132.203,132.083,27548.000
2023-11-03,132.181,132.182,132.292,132.105,29496.000
2023-11-06,132.180,132.145,132.180,132.091,29974.000
2023-11-07,132.145,132.180,132.210,132.145,29705.000
2023-11-08,132.195,132.193,132.195,132.103,28572.000
2023-11-09,132.238,132.200,132.265,132.171,39085.000
2023-11-10,132.201,132.205,132.238,132.163,28517.000
2023-11-13,132.204,132.363,132.434,132.168,46505.000
2023-11-14,132.361,132.352,132.361,132.256,29665.000
2023-11-15,132.352,132.349,132.367,132.306,31885.000
2023-11-16,132.330,132.425,132.445,132.330,27902.000
2023-11-17,132.426,132.437,132.470,132.372,28266.000
2023-11-20,132.466,132.367,132.466,132.355,33507.000
2023-11-21,132.335,132.306,132.350,132.264,27321.000
2023-11-22,132.306,132.155,132.306,132.131,28070.000
2023-11-23,132.170,131.990,132.170,131.930,27811.000
2023-11-24,132.038,132.086,132.179,132.010,26883.000
2023-11-27,132.040,132.067,132.140,132.005,30525.000
2023-11-28,132.070,132.055,132.226,132.000,36535.000
2023-11-29,132.056,132.007,132.075,132.001,43993.000
2023-11-30,132.020,132.101,132.142,132.010,31820.000
2023-12-01,132.151,132.200,132.300,132.145,46148.000
2023-12-04,132.200,132.105,132.259,132.094,44993.000
2023-12-05,132.107,132.091,132.124,132.067,22145.000
2023-12-06,132.091,132.073,132.124,132.043,34370.000
2023-12-07,132.073,132.144,132.152,132.055,34286.000
2023-12-08,132.239,132.210,132.268,132.188,32707.000
2023-12-11,132.265,132.395,132.431,132.265,30451.000
2023-12-12,132.395,132.383,132.433,132.354,33835.000
2023-12-13,132.401,132.565,132.614,132.401,22260.000
2023-12-14,132.571,132.441,132.571,132.420,18697.000
2023-12-15,132.469,132.558,132.573,132.452,33805.000
2023-12-18,132.574,132.665,132.700,132.574,32852.000
2023-12-19,132.672,132.652,132.682,132.630,34199.000
2023-12-20,132.654,132.561,132.699,132.553,33343.000
2023-12-21,132.563,132.610,132.639,132.521,29682.000
2023-12-22,132.701,132.787,132.817,132.663,14535.000
2023-12-25,132.837,132.895,132.929,132.786,10951.000
2023-12-26,132.900,132.997,133.115,132.867,19286.000
2023-12-27,133.059,133.126,133.159,133.059,31812.000
