date,close_true,low
2020-09-17,110.195,110.102
2020-09-18,110.216,110.110
2020-09-21,110.718,110.166
2020-09-22,110.898,110.600
2020-09-23,110.653,110.558
2020-09-24,110.605,110.527
2020-09-25,110.453,110.421
2020-09-28,110.594,110.248
2020-09-29,110.403,110.340
2020-09-30,110.188,110.137
2020-10-09,110.040,109.941
2020-10-12,109.740,109.684
2020-10-13,109.787,109.700
2020-10-14,109.687,109.629
2020-10-15,109.603,109.537
2020-10-16,109.824,109.603
2020-10-19,110.062,109.631
2020-10-20,109.858,109.810
2020-10-21,109.887,109.755
2020-10-22,110.016,109.958
2020-10-23,109.956,109.907
2020-10-26,109.813,109.808
2020-10-27,110.076,109.800
2020-10-28,110.059,109.917
2020-10-29,110.121,110.060
2020-10-30,110.104,110.077
2020-11-02,110.332,110.071
2020-11-03,110.286,110.212
2020-11-04,110.284,110.194
2020-11-05,110.270,110.201
2020-11-06,110.259,110.196
2020-11-09,110.050,109.988
2020-11-10,110.014,109.950
2020-11-11,109.970,109.904
2020-11-12,110.018,109.900
2020-11-13,109.692,109.601
2020-11-16,109.800,109.590
2020-11-17,109.829,109.748
2020-11-18,109.622,109.560
2020-11-19,109.508,109.398
2020-11-20,109.448,109.320
2020-11-23,109.583,109.501
2020-11-24,109.541,109.513
2020-11-25,109.575,109.460
2020-11-26,109.564,109.560
2020-11-27,109.530,109.478
2020-11-30,109.682,109.532
2020-12-01,109.610,109.550
2020-12-02,109.551,109.524
2020-12-03,109.528,109.501
2020-12-04,109.900,109.529
2020-12-07,109.751,109.708
2020-12-08,110.089,109.780
2020-12-09,109.985,109.892
2020-12-10,109.956,109.882
2020-12-11,109.785,109.730
2020-12-14,109.630,109.601
2020-12-15,109.660,109.628
2020-12-16,109.665,109.630
2020-12-17,109.574,109.555
2020-12-18,109.575,109.542
2020-12-21,109.559,109.550
2020-12-22,109.766,109.540
2020-12-23,109.832,109.792
2020-12-24,109.841,109.805
2020-12-25,109.976,109.840
2020-12-28,110.000,109.988
2020-12-29,110.189,110.044
2020-12-30,110.249,110.068
2020-12-31,110.105,110.100
2021-01-04,110.038,109.938
2021-01-05,110.210,110.038
2021-01-06,110.440,110.191
2021-01-07,110.426,110.361
2021-01-08,110.446,110.350
2021-01-11,110.411,110.300
2021-01-12,110.470,110.348
2021-01-13,110.718,110.470
2021-01-14,110.869,110.720
2021-01-15,111.032,110.860
2021-01-18,110.777,110.743
2021-01-19,110.671,110.600
2021-01-20,110.886,110.685
2021-01-21,110.892,110.811
2021-01-22,111.118,110.899
2021-01-25,111.068,111.020
2021-01-26,110.620,110.591
2021-01-27,110.533,110.480
2021-01-28,110.496,110.375
2021-01-29,110.282,110.242
2021-02-01,110.615,110.322
2021-02-02,110.760,110.500
2021-02-03,110.672,110.631
2021-02-04,110.663,110.555
2021-02-05,110.349,110.230
2021-02-08,110.126,110.009
2021-02-09,110.208,110.087
2021-02-10,110.470,110.162
2021-02-18,110.373,110.281
2021-02-19,110.464,110.340
2021-02-22,110.360,110.065
2021-02-23,110.530,110.260
2021-02-24,110.570,110.497
2021-02-25,110.546,110.354
2021-02-26,110.445,110.281
2021-03-01,110.280,110.222
2021-03-02,110.615,110.129
2021-03-03,110.475,110.426
2021-03-04,110.466,110.400
2021-03-05,110.599,110.411
2021-03-08,110.728,110.510
2021-03-09,110.761,110.608
2021-03-10,110.862,110.634
2021-03-11,110.731,110.581
2021-03-12,110.697,110.671
2021-03-15,110.621,110.570
2021-03-16,110.554,110.532
2021-03-17,110.507,110.494
2021-03-18,110.330,110.270
2021-03-19,110.452,110.280
2021-03-22,110.544,110.460
2021-03-23,110.574,110.484
2021-03-24,110.702,110.600
2021-03-25,110.747,110.600
2021-03-26,110.662,110.658
2021-03-29,110.642,110.546
2021-03-30,110.729,110.628
2021-03-31,110.934,110.685
2021-04-01,110.815,110.774
2021-04-02,110.821,110.765
2021-04-06,110.793,110.720
2021-04-07,110.828,110.765
2021-04-08,110.724,110.692
2021-04-09,110.798,110.711
