k,sh513100_ret,sh513100_trend_gross,sh513100_trend_cash,sh513100_mom_gross,sh513100_mom_cash,sh513100_mix_gross,sh513100_mix_cash,sh513100_sma200_gross,sh513100_sma200_cash,sh513100_sma240_gross,sh513100_sma240_cash,sh513100_ma50_200_gross,sh513100_ma50_200_cash,sh513100_buyhold_cash,sh513500_ret,sh513500_trend_gross,sh513500_trend_cash,sh513500_mom_gross,sh513500_mom_cash,sh513500_mix_gross,sh513500_mix_cash,sh513500_sma200_gross,sh513500_sma200_cash,sh513500_sma240_gross,sh513500_sma240_cash,sh513500_ma50_200_gross,sh513500_ma50_200_cash,sh513500_buyhold_cash,hs300_ret
201806,0.03640256959314758,0.03640256959314758,0.03640256959314758,0.03640256959314758,0.03640256959314758,0.024988088086126632,0.02597949659573189,0.03640256959314758,0.03739397810275284,0.03640256959314758,0.03739397810275284,0.03640256959314758,0.03739397810275284,,0.027329192546583725,0.027329192546583725,0.027329192546583725,0.027329192546583725,0.027329192546583725,0.019309954308489207,0.020237712525783123,0.027329192546583725,0.02825695076387764,0.027329192546583725,0.02825695076387764,0.027329192546583725,0.02825695076387764,,-0.07663392573485628
201807,0.06198347107438029,0.06198347107438029,0.06198347107438029,0.06198347107438029,0.06198347107438029,0.04434541611797326,0.045208082475704965,0.06198347107438029,0.062846137432112,0.06198347107438029,0.062846137432112,0.06198347107438029,0.062846137432112,,0.06408706166868194,0.06408706166868194,0.06408706166868194,0.06408706166868194,0.06408706166868194,0.0440962055998739,0.04504185270118704,0.06408706166868194,0.06503270876999508,0.06408706166868194,0.06503270876999508,0.06408706166868194,0.06503270876999508,,0.0019003214197725882
201808,0.06420233463035019,0.06420233463035019,0.06420233463035019,0.06420233463035019,0.06420233463035019,0.04128234600885329,0.042333212330186505,0.06420233463035019,0.06525320095168341,0.06420233463035019,0.06525320095168341,0.06420233463035019,0.06525320095168341,,0.04659090909090913,0.04659090909090913,0.04659090909090913,0.04659090909090913,0.04659090909090913,0.04088051979213233,0.041241304755693924,0.04659090909090913,0.04695169405447072,0.04659090909090913,0.04695169405447072,0.04659090909090913,0.04695169405447072,,-0.05206675920932602
201809,0.003656307129798808,0.003656307129798808,0.003656307129798808,0.003656307129798808,0.003656307129798808,0.0024428495868016814,0.003353142965541546,0.003656307129798808,0.004566600508538673,0.003656307129798808,0.004566600508538673,0.003656307129798808,0.004566600508538673,,0.006514657980456029,0.006514657980456029,0.006514657980456029,0.006514657980456029,0.006514657980456029,0.006438717336003587,0.006470690243092585,0.006514657980456029,0.006546630887545027,0.006514657980456029,0.006546630887545027,0.006514657980456029,0.006546630887545027,,0.031297308385294986
201810,-0.10018214936247727,-0.10018214936247727,-0.10018214936247727,-0.10018214936247727,-0.10018214936247727,-0.04388356289047335,-0.04252968862321899,-0.10018214936247727,-0.09882827509522292,-0.10018214936247727,-0.09882827509522292,-0.10018214936247727,-0.09882827509522292,,-0.0722761596548005,-0.0722761596548005,-0.0722761596548005,-0.0722761596548005,-0.0722761596548005,-0.04342460163390632,-0.04246288884798211,-0.0722761596548005,-0.07131444686887628,-0.0722761596548005,-0.07131444686887628,-0.0722761596548005,-0.07131444686887628,,-0.08288839486283994
201811,0.002024291497975783,0.002024291497975783,0.002024291497975783,0.002024291497975783,0.002024291497975783,0.0008200398692829519,0.002162796130269854,0.002024291497975783,0.0033670477589626854,0.002024291497975783,0.0033670477589626854,0.002024291497975783,0.0033670477589626854,,0.019767441860465196,0.019767441860465196,0.019767441860465196,0.019767441860465196,0.019767441860465196,0.010637479580625029,0.01167996864493966,0.019767441860465196,0.020809930924779826,0.019767441860465196,0.020809930924779826,0.019767441860465196,0.020809930924779826,,0.005982263430763357
201812,-0.09292929292929286,-0.0,0.002052333090556413,-0.09292929292929286,-0.09292929292929286,-0.0,0.002052333090556413,-0.0,0.002052333090556413,-0.0,0.002052333090556413,-0.0,0.002052333090556413,,-0.10148232611174457,-0.0,0.002052333090556413,-0.10148232611174457,-0.10148232611174457,-0.0,0.002052333090556413,-0.0,0.002052333090556413,-0.0,0.002052333090556413,-0.10148232611174457,-0.09942999302118816,,-0.05107211861228167
201901,0.062360801781737196,0.0,0.002149392268758321,0.062360801781737196,0.062360801781737196,0.0,0.002149392268758321,0.0,0.002149392268758321,0.0,0.002149392268758321,0.0,0.002149392268758321,,0.058375634517766395,0.0,0.002149392268758321,0.0,0.002149392268758321,0.0,0.002149392268758321,0.0,0.002149392268758321,0.0,0.002149392268758321,0.0,0.002149392268758321,,0.06343439000296947
201902,0.03144654088050314,0.0,0.002207935348069512,0.03144654088050314,0.03144654088050314,0.0,0.002207935348069512,0.0,0.002207935348069512,0.03144654088050314,0.03365447622857265,0.0,0.002207935348069512,,0.03597122302158273,0.03597122302158273,0.03597122302158273,0.03597122302158273,0.03597122302158273,0.014631621675922071,0.0159414592673914,0.03597122302158273,0.03728106061305206,0.03597122302158273,0.03728106061305206,0.0,0.001309837591469326,,0.14609325928362193
201903,0.04065040650406515,0.04065040650406515,0.04065040650406515,0.04065040650406515,0.04065040650406515,0.016368705507472325,0.017514570467542758,0.04065040650406515,0.04179627146413559,0.04065040650406515,0.04179627146413559,0.0,0.0011458649600704334,,0.01736111111111116,0.01736111111111116,0.01736111111111116,0.01736111111111116,0.01736111111111116,0.008339197431182877,0.009336071676731809,0.01736111111111116,0.01835798535666009,0.01736111111111116,0.01835798535666009,0.0,0.000996874245548932,,0.055314945072314936
