date,ic,n,note
2016-06-01,0.170139780986801,2120,
2016-07-01,0.18845625625504817,2185,
2016-08-01,0.2859692766284076,2207,
2016-09-01,0.2672694178414261,2226,
2016-10-10,0.19722892499074415,2199,
2016-11-01,0.14143886030182035,2229,
2016-12-01,0.15175552250282967,2224,
2017-01-03,-0.11593524766082766,2265,
2017-02-03,0.14629964589340044,2275,
2017-03-01,0.03446104883717121,2269,
2017-04-05,-0.07695943719418104,2279,
2017-05-02,-0.08657202558433463,2280,
2017-06-01,0.03543655602517248,2298,
2017-07-03,-0.10184122698123431,2314,
2017-08-01,0.12743173393522567,2324,
2017-09-01,0.07273854097724539,2392,
2017-10-09,0.07629559643933562,2410,
2017-11-01,-0.1332611943631539,2449,
2017-12-01,-0.09494358832597193,2473,
2018-01-02,-0.06356291452681534,2509,
2018-02-01,-0.029983742757736527,2552,
2018-03-01,0.22709772408572323,2549,
2018-04-02,0.07362997218972674,2600,
2018-05-02,0.17602116674334325,2649,
2018-06-01,-0.07795508846113604,2702,
2018-07-02,0.1002359332281247,2762,
2018-08-01,0.013310487156247643,2840,
2018-09-03,-0.02745647428514503,2899,
2018-10-08,0.18164773473328819,2944,
2018-11-01,0.13624285044036508,2984,
2018-12-03,0.18148406585380078,3054,
2019-01-02,-0.080920724332797,3092,
2019-02-01,-0.10324806789468857,3111,
2019-03-01,0.09480295413881919,3119,
2019-04-01,0.10483586280384313,3115,
2019-05-06,0.1791797847231839,3115,
2019-06-03,0.03291995152096457,3123,
2019-07-01,0.1317627682091071,3135,
2019-08-01,-0.11088808786589678,3144,
2019-09-02,0.14772319984643958,3152,
2019-10-08,0.027724290124640758,3158,
2019-11-01,-0.01753467043254525,3163,
2019-12-02,-0.016196868822140345,3174,
2020-01-02,-0.04420524363378246,3179,
2020-02-03,-0.09711825545241026,3199,
2020-03-02,0.38389732489473954,3205,
2020-04-01,-0.1641763722929673,3215,
2020-05-06,0.12372130782703396,3193,
2020-06-01,-0.10928786338397335,3200,
2020-07-01,0.07891976432461688,3218,
2020-08-03,0.2376841267983636,3257,
2020-09-01,0.11593811952826814,3270,
2020-10-09,0.10772778595856153,3286,
2020-11-02,0.12689974941263818,3302,
2020-12-01,-0.20485800356399275,3336,
2021-01-04,-0.0991694171899391,3361,
2021-02-01,0.23214484900941232,3378,
2021-03-01,0.2849993740218778,3393,
2021-04-01,0.04077903514970932,3411,
2021-05-06,-0.0753958907142318,3421,
2021-06-01,0.0738107285442542,3453,
2021-07-01,-0.01605665962497846,3482,
2021-08-02,0.1768430139277112,3523,
2021-09-01,0.18088382587650143,3584,
2021-10-08,-0.14820678037814522,3645,
2021-11-01,0.26083397826002175,3672,
2021-12-01,0.3143341290946543,3692,
2022-01-04,0.25639364682105464,3747,
2022-02-07,0.031439688601234,3784,
2022-03-01,0.17918261143890135,3811,
2022-04-01,0.04080138552116241,3846,
2022-05-05,0.146238305536267,3876,
2022-06-01,-0.12192401659340914,3934,
2022-07-01,0.23614228975532534,3988,
2022-08-01,0.1708651600267437,4035,
2022-09-01,0.07594194833119312,4078,
2022-10-10,0.16401503122493194,4114,
