t,A,A2
2015-02-28,0.4674480110851679,0.5325519889148322
2015-03-31,0.4675419534620041,0.532458046537996
2015-04-30,0.46754510320308,0.5324548967969199
2015-05-31,0.46754818974713847,0.5324518102528615
2015-06-30,0.46755061690696587,0.5324493830930341
2015-07-31,0.4675528002027889,0.5324471997972111
2015-08-31,0.4670943005543362,0.5329056994456637
2015-09-30,0.46400865984612005,0.53599134015388
2015-10-31,0.4640725583136631,0.535927441686337
2015-11-30,0.46708430912666954,0.5329156908733305
2015-12-31,0.4646772853148855,0.5353227146851146
2016-01-31,0.4646276291271123,0.5353723708728877
2016-02-29,0.46483590901335375,0.5351640909866462
2016-03-31,0.46513627301236526,0.5348637269876347
2016-04-30,0.46619954163901417,0.5338004583609859
2016-05-31,0.4654422374059132,0.5345577625940867
2016-06-30,0.4678042910901305,0.5321957089098694
2016-07-31,0.46634484679439786,0.5336551532056021
2016-08-31,0.47018484670764027,0.5298151532923598
2016-09-30,0.46998331189562575,0.5300166881043742
2016-10-31,0.47145956034940106,0.5285404396505989
2016-11-30,0.4732669859243199,0.5267330140756801
2016-12-31,0.4733267944525493,0.5266732055474507
2017-01-31,0.47486256527085846,0.5251374347291415
2017-02-28,0.47285186289395637,0.5271481371060435
2017-03-31,0.4732647981149145,0.5267352018850855
2017-04-30,0.47359046830177365,0.5264095316982264
2017-05-31,0.47389392863640256,0.5261060713635974
2017-06-30,0.4738066435013923,0.5261933564986077
2017-07-31,0.474286526717977,0.525713473282023
2017-08-31,0.47240429693547975,0.5275957030645202
2017-09-30,0.46862733224451947,0.5313726677554805
2017-10-31,0.4705918067570319,0.5294081932429682
2017-11-30,0.4775190388143523,0.5224809611856477
2017-12-31,0.47459479792850046,0.5254052020714995
2018-01-31,0.47461877633554866,0.5253812236644513
2018-02-28,0.4753343775593839,0.5246656224406161
2018-03-31,0.4733029013610411,0.5266970986389589
2018-04-30,0.4749531819961381,0.5250468180038619
2018-05-31,0.47404575756544937,0.5259542424345506
2018-06-30,0.4723640246067857,0.5276359753932143
2018-07-31,0.47212484104686475,0.5278751589531352
2018-08-31,0.47222328013838416,0.5277767198616158
2018-09-30,0.4718931182625034,0.5281068817374966
2018-10-31,0.47261858490914177,0.5273814150908582
2018-11-30,0.4732796976671863,0.5267203023328136
2018-12-31,0.47434840584918364,0.5256515941508164
2019-01-31,0.4753872886614043,0.5246127113385958
2019-02-28,0.474710632622472,0.5252893673775282
2019-03-31,0.47308769597407063,0.5269123040259295
2019-04-30,0.4712952105971571,0.5287047894028429
2019-05-31,0.4685577188315548,0.5314422811684453
2019-06-30,0.46857845286416516,0.5314215471358348
2019-07-31,0.46883804057698564,0.5311619594230145
2019-08-31,0.4683182631588243,0.5316817368411757
2019-09-30,0.46835574600472357,0.5316442539952765
2019-10-31,0.470591782684039,0.529408217315961
2019-11-30,0.47165079136799043,0.5283492086320096
2019-12-31,0.4696005840422429,0.5303994159577571
2020-01-31,0.4701943311749213,0.5298056688250786
2020-02-29,0.4779625153309877,0.5220374846690122
2020-03-31,0.47434212008937526,0.5256578799106246
2020-04-30,0.4727654206259073,0.5272345793740927
2020-05-31,0.4710073705648313,0.5289926294351687
2020-06-30,0.47146446429780564,0.5285355357021942
2020-07-31,0.470799668581691,0.529200331418309
2020-08-31,0.4745152966298621,0.5254847033701379
2020-09-30,0.4740264381591787,0.5259735618408212
2020-10-31,0.47388780101438027,0.5261121989856198
2020-11-30,0.4735210710173524,0.5264789289826476
2020-12-31,0.47356141447607913,0.5264385855239208
2021-01-31,0.4709934444952252,0.5290065555047748
2021-02-28,0.47201273590791715,0.5279872640920827
2021-03-31,0.4711506611142124,0.5288493388857877
2021-04-30,0.471438086900678,0.528561913099322
2021-05-31,0.4731397141682428,0.5268602858317574
2021-06-30,0.4701254171833573,0.5298745828166427
2021-07-31,0.47446893674924656,0.5255310632507534
2021-08-31,0.47454649396854326,0.5254535060314568
2021-09-30,0.4696344056989773,0.5303655943010227
2021-10-31,0.4670896648424569,0.5329103351575432
2021-11-30,0.46891542664132974,0.5310845733586703
2021-12-31,0.4691284692049547,0.5308715307950453
2022-01-31,0.46810646558800295,0.5318935344119969
2022-02-28,0.4701178504682645,0.5298821495317354
2022-03-31,0.47214542445348817,0.5278545755465118
2022-04-30,0.4767577774452173,0.5232422225547827
2022-05-31,0.4759986488029788,0.5240013511970211
2022-06-30,0.4754385862056758,0.5245614137943243
2022-07-31,0.4759612841680486,0.5240387158319515
2022-08-31,0.47587204852674997,0.52412795147325
2022-09-30,0.4758825643192122,0.5241174356807878
2022-10-31,0.47650119020034915,0.5234988097996509
2022-11-30,0.4749604728936047,0.5250395271063952
2022-12-31,0.47451119627566624,0.5254888037243337
2023-01-31,0.47407431511125975,0.5259256848887404
2023-02-28,0.47425197048700746,0.5257480295129926
2023-03-31,0.4721442384293217,0.5278557615706783
2023-04-30,0.47224529815249333,0.5277547018475066
2023-05-31,0.47646269114788053,0.5235373088521195
2023-06-30,0.4775552403850907,0.5224447596149094
2023-07-31,0.47795330870961067,0.5220466912903893
2023-08-31,0.4779731538538678,0.5220268461461322
2023-09-30,0.4775270047990002,0.5224729952009999
2023-10-31,0.4776758535885536,0.5223241464114464
2023-11-30,0.47738684908626805,0.5226131509137318
2023-12-31,0.4774213229853524,0.5225786770146476
2024-01-31,0.4767899819674597,0.5232100180325403
2024-02-29,0.47492840004704373,0.5250715999529564
2024-03-31,0.47502644994752186,0.524973550052478
2024-04-30,0.47503666804358013,0.5249633319564199
2024-05-31,0.4749611255346142,0.5250388744653858
2024-06-30,0.4751629053701644,0.5248370946298355
