合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日,ym
588080,科创板50ETF,84.0,3454.0,132405,79562,52843,66.42,404204,254311,149893,2023-12-29,202312
510050,上证50ETF,146.0,94605.0,2138406,958313,1180093,123.14,1922815,1135947,786868,2024-01-31,202401
510300,沪深300ETF,162.0,110676.0,1751516,768198,983318,128.0,1656608,986496,670112,2024-01-31,202401
510500,中证500ETF,102.0,168198.0,1332390,549951,782439,142.27,966076,555186,410890,2024-01-31,202401
588000,科创50ETF,98.0,32184.0,1139700,499215,640485,128.3,1240227,891247,348980,2024-01-31,202401
588080,科创板50ETF,104.0,16128.0,664655,247805,416850,168.22,542278,367071,175207,2024-01-31,202401
510050,上证50ETF,148.0,57415.0,1274460,707368,567092,80.17,1633771,879631,754140,2024-02-29,202402
510300,沪深300ETF,150.0,68640.0,1174575,625582,548993,87.76,1390241,750110,640131,2024-02-29,202402
510500,中证500ETF,122.0,123469.0,1227228,651303,575925,88.43,944541,462410,482131,2024-02-29,202402
588000,科创50ETF,100.0,24231.0,870182,524228,345954,65.99,1139022,687597,451425,2024-02-29,202402
588080,科创板50ETF,98.0,8287.0,317994,198999,118995,59.8,520934,320324,200610,2024-02-29,202402
510050,上证50ETF,118.0,33700.0,919640,441429,478211,108.33,1372256,710853,661403,2024-03-29,202403
510300,沪深300ETF,118.0,39702.0,812667,402915,409752,101.7,1169150,628621,540529,2024-03-29,202403
510500,中证500ETF,104.0,85771.0,943336,437565,505771,115.59,834512,423303,411209,2024-03-29,202403
588000,科创50ETF,90.0,13778.0,513117,277735,235382,84.75,983294,649260,334034,2024-03-29,202403
588080,科创板50ETF,94.0,6752.0,257424,114685,142739,124.46,442849,289029,153820,2024-03-29,202403
510050,上证50ETF,120.0,39308.0,1007225,584914,422311,72.2,1456608,736693,719915,2024-04-30,202404
510300,沪深300ETF,118.0,42636.0,810642,448780,361862,80.63,1203147,599605,603542,2024-04-30,202404
510500,中证500ETF,106.0,75707.0,890764,482662,408102,84.55,879196,392746,486450,2024-04-30,202404
588000,科创50ETF,92.0,10345.0,412715,262566,150149,57.19,969185,593890,375295,2024-04-30,202404
588080,科创板50ETF,92.0,5960.0,256608,166744,89864,53.89,526311,306359,219952,2024-04-30,202404
510050,上证50ETF,124.0,28109.0,733680,350910,382770,109.08,1532563,776578,755985,2024-05-28,202405
510300,沪深300ETF,124.0,34484.0,693320,347650,345670,99.43,1227156,646820,580336,2024-05-28,202405
510500,中证500ETF,170.0,76836.0,943131,431872,511259,118.38,960238,506254,453984,2024-05-28,202405
588000,科创50ETF,92.0,12022.0,437809,261717,176092,67.28,1053972,707545,346427,2024-05-28,202405
588080,科创板50ETF,90.0,7505.0,286611,158350,128261,81.0,541481,326713,214768,2024-05-28,202405
510050,上证50ETF,92.0,36118.0,1076255,560465,515790,92.03,1352340,725049,627291,2024-06-28,202406
510300,沪深300ETF,90.0,47603.0,1028489,541133,487356,90.06,1109439,619408,490031,2024-06-28,202406
510500,中证500ETF,140.0,118083.0,1557944,753713,804231,106.7,941034,510800,430234,2024-06-28,202406
588000,科创50ETF,82.0,8821.0,373251,226153,147098,65.04,923740,623561,300179,2024-06-28,202406
588080,科创板50ETF,82.0,5037.0,219055,115007,104048,90.47,420856,263016,157840,2024-06-28,202406
510050,上证50ETF,98.0,49379.0,1426297,793224,633073,79.81,1545861,851572,694289,2024-07-31,202407
510300,沪深300ETF,94.0,62174.0,1364484,775179,589305,76.02,1216852,636424,580428,2024-07-31,202407
510500,中证500ETF,156.0,165490.0,2190794,1224614,966180,78.9,1098703,532117,566586,2024-07-31,202407
588000,科创50ETF,86.0,18062.0,760926,444418,316508,71.22,932752,563720,369032,2024-07-31,202407
588080,科创板50ETF,86.0,7545.0,361742,215610,146132,67.78,444800,255316,189484,2024-07-31,202407
510050,上证50ETF,94.0,45545.0,1447013,782662,664351,84.88,1371779,736483,635296,2024-08-30,202408
510300,沪深300ETF,96.0,60738.0,1443277,860762,582515,67.67,1189731,664344,525387,2024-08-30,202408
510500,中证500ETF,160.0,153073.0,2257582,1361159,896423,65.86,1112409,593493,518916,2024-08-30,202408
588000,科创50ETF,86.0,12991.0,561323,352480,208843,59.25,962039,622529,339510,2024-08-30,202408
588080,科创板50ETF,84.0,5323.0,269161,163330,105831,64.8,522508,315550,206958,2024-08-30,202408
510050,上证50ETF,128.0,299788.0,2797893,1346087,1451806,107.85,1556009,586056,969953,2024-09-30,202409
510300,沪深300ETF,122.0,384669.0,2257758,1184800,1072958,90.56,1322464,540737,781727,2024-09-30,202409
510500,中证500ETF,144.0,437088.0,2041323,1158006,883317,76.28,1013942,424917,589025,2024-09-30,202409
588000,科创50ETF,94.0,114895.0,1728039,1111200,616839,55.51,1152558,625909,526649,2024-09-30,202409
588080,科创板50ETF,88.0,45220.0,764301,418965,345336,82.43,641258,330363,310895,2024-09-30,202409
510050,上证50ETF,150.0,76731.0,1288405,810557,477848,58.95,1569040,852661,716379,2024-10-31,202410
510300,沪深300ETF,140.0,96136.0,1189447,703106,486341,69.17,1290211,671731,618480,2024-10-31,202410
510500,中证500ETF,150.0,188436.0,1518633,973548,545085,55.99,977952,487800,490152,2024-10-31,202410
588000,科创50ETF,132.0,43171.0,918561,597385,321176,53.76,1399539,828414,571125,2024-10-31,202410
588080,科创板50ETF,124.0,16851.0,388650,188180,200470,106.53,590725,336340,254385,2024-10-31,202410
510050,上证50ETF,140.0,64075.0,1388645,838865,549780,65.54,1553135,877250,675885,2024-11-29,202411
510300,沪深300ETF,126.0,89880.0,1246046,723094,522952,72.32,1243116,636284,606832,2024-11-29,202411
510500,中证500ETF,146.0,160079.0,1531530,896259,635271,70.88,916045,471097,444948,2024-11-29,202411
588000,科创50ETF,118.0,32458.0,871655,541308,330347,61.03,1322789,771417,551372,2024-11-29,202411
588080,科创板50ETF,114.0,8264.0,225115,136372,88743,65.07,528912,293029,235883,2024-11-29,202411
510050,上证50ETF,172.0,55396.0,1193784,629001,564783,89.79,1302773,695561,607212,2024-12-31,202412
510300,沪深300ETF,104.0,65028.0,1097171,569235,527936,92.74,1134344,596311,538033,2024-12-31,202412
510500,中证500ETF,104.0,126300.0,1336368,644984,691384,107.19,977878,540300,437578,2024-12-31,202412
588000,科创50ETF,104.0,21384.0,705999,403130,302869,75.13,1270043,802396,467647,2024-12-31,202412
588080,科创板50ETF,98.0,7220.0,235203,123139,112064,91.01,486919,297738,189181,2024-12-31,202412
510050,上证50ETF,166.0,31295.0,647465,371360,276105,74.35,1353569,751722,601847,2025-01-27,202501
510300,沪深300ETF,110.0,38474.0,622143,380415,241728,63.54,1128428,585271,543157,2025-01-27,202501
510500,中证500ETF,168.0,96978.0,829665,455040,374625,82.33,950794,482486,468308,2025-01-27,202501
588000,科创50ETF,104.0,14283.0,437975,263579,174396,66.16,1270325,775879,494446,2025-01-27,202501
588080,科创板50ETF,100.0,3335.0,113448,67393,46055,68.34,444459,262330,182129,2025-01-27,202501
510050,上证50ETF,164.0,44166.0,1048722,567255,481467,84.88,1402394,791856,610538,2025-02-28,202502
510300,沪深300ETF,108.0,56249.0,934262,490395,443867,90.51,1212304,654029,558275,2025-02-28,202502
510500,中证500ETF,150.0,134315.0,1311907,621614,690293,111.05,1040089,554957,485132,2025-02-28,202502
588000,科创50ETF,110.0,57621.0,1426710,803518,623192,77.56,1587274,927891,659383,2025-02-28,202502
588080,科创板50ETF,106.0,15234.0,397418,222951,174467,78.25,525026,303486,221540,2025-02-28,202502
510050,上证50ETF,120.0,44683.0,1165626,615418,550208,89.4,1236747,724561,512186,2025-03-31,202503
510300,沪深300ETF,86.0,55017.0,1054503,534132,520371,97.42,1126285,644088,482197,2025-03-31,202503
510500,中证500ETF,114.0,129087.0,1322614,642349,680265,105.9,923676,493356,430320,2025-03-31,202503
588000,科创50ETF,92.0,24732.0,854361,432493,421868,97.54,1552087,926574,625513,2025-03-31,202503
588080,科创板50ETF,90.0,6101.0,259313,128330,130983,102.07,420604,257106,163498,2025-03-31,202503
510050,上证50ETF,128.0,26789.0,660867,340184,320683,94.27,1204377,629382,574995,2025-04-30,202504
510300,沪深300ETF,96.0,25453.0,452876,234861,218015,92.83,1051167,567298,483869,2025-04-30,202504
510500,中证500ETF,122.0,70723.0,699567,375850,323717,86.13,1020940,517593,503347,2025-04-30,202504
588000,科创50ETF,98.0,8752.0,333562,182903,150659,82.37,1350232,765626,584606,2025-04-30,202504
588080,科创板50ETF,92.0,1878.0,68551,36212,32339,89.3,384171,211456,172715,2025-04-30,202504
510050,上证50ETF,124.0,33640.0,918564,427775,490789,114.73,1135430,585424,550006,2025-05-30,202505
510300,沪深300ETF,94.0,34568.0,675292,332727,342565,102.96,1000885,553703,447182,2025-05-30,202505
510500,中证500ETF,116.0,81833.0,927476,464392,463084,99.72,1058932,524811,534121,2025-05-30,202505
588000,科创50ETF,98.0,8453.0,358748,194170,164578,84.76,1242677,746589,496088,2025-05-30,202505
588080,科创板50ETF,90.0,2303.0,100547,51506,49041,95.21,400563,237369,163194,2025-05-30,202505
510050,上证50ETF,96.0,25469.0,752880,397080,355800,89.6,1152296,608764,543532,2025-06-30,202506
510300,沪深300ETF,144.0,38109.0,788132,420950,367182,87.23,1089961,600166,489795,2025-06-30,202506
510500,中证500ETF,86.0,83742.0,1015214,578420,436794,75.52,1035127,519776,515351,2025-06-30,202506
588000,科创50ETF,88.0,12378.0,517948,331638,186310,56.18,1278526,763622,514904,2025-06-30,202506
588080,科创板50ETF,84.0,2398.0,104612,64414,40198,62.41,370845,212909,157936,2025-06-30,202506
510050,上证50ETF,106.0,70545.0,1648187,855907,792280,92.57,1372915,731919,640996,2025-07-31,202507
510300,沪深300ETF,134.0,104279.0,1626495,782610,843885,107.83,1233435,643515,589920,2025-07-31,202507
510500,中证500ETF,96.0,185691.0,1787368,855047,932321,109.04,1228893,607287,621606,2025-07-31,202507
588000,科创50ETF,96.0,43209.0,1216983,752422,464561,61.74,1839877,1124238,715639,2025-07-31,202507
588080,科创板50ETF,90.0,7903.0,248778,152604,96174,63.02,529229,314618,214611,2025-07-31,202507
510050,上证50ETF,112.0,101682.0,1630799,980491,650308,66.32,1427736,730634,697102,2025-08-29,202508
510300,沪深300ETF,158.0,159026.0,1754751,968928,785823,81.1,1238166,553404,684762,2025-08-29,202508
