ym,ic_accrual,n,q1,q2,q3,q4,q5
2021-08,-0.0615,3597,-0.02031,-0.02972,-0.02076,-0.01231,-0.00338
2021-09,0.0305,3655,-0.02048,-0.01516,-0.02034,-0.01742,-0.02917
2021-10,0.1617,3682,0.12337,0.12691,0.10384,0.10216,0.07427
2021-11,-0.1404,3790,0.01445,0.01939,0.03247,0.04196,0.05853
2021-12,-0.0436,3844,-0.09256,-0.1009,-0.09782,-0.09281,-0.08022
2022-01,-0.0543,3879,0.04353,0.04059,0.04441,0.05142,0.05522
2022-02,-0.1184,3903,-0.06878,-0.0609,-0.05813,-0.04225,-0.03117
2022-03,-0.1322,3937,-0.16411,-0.1575,-0.14481,-0.13838,-0.12393
2022-04,0.0439,3956,0.11699,0.10942,0.10348,0.11212,0.10354
2022-05,0.0824,3954,0.09308,0.08548,0.08843,0.07919,0.06741
2022-06,0.0786,3994,0.03668,0.0378,0.0405,0.01833,0.01777
2022-07,-0.1282,4024,-0.04642,-0.03375,-0.03767,-0.01825,-0.01918
2022-08,-0.0422,4041,-0.08924,-0.09249,-0.08974,-0.08309,-0.08028
2022-09,0.1248,4104,0.06106,0.04361,0.03277,0.0255,0.01385
2022-10,-0.1501,4124,0.06359,0.06374,0.07095,0.08976,0.1057
2022-11,-0.0464,4131,-0.0473,-0.03768,-0.04171,-0.03781,-0.02929
2022-12,0.1161,4153,0.09009,0.09022,0.08708,0.07118,0.06662
2023-01,-0.0053,4171,0.03754,0.0324,0.03521,0.03268,0.03392
2023-02,0.0195,4202,-0.00503,-0.01219,-0.01026,-0.01484,-0.01568
2023-03,-0.0742,4221,-0.03226,-0.0271,-0.02705,-0.0195,-0.01552
2023-04,0.0611,4234,0.01173,0.01124,0.00513,-0.00154,-0.00251
2023-05,0.01,4305,0.02478,0.02862,0.0253,0.02859,0.02245
2023-06,-0.1696,4326,-0.01132,-0.00585,0.00653,0.02538,0.03545
2023-07,0.0213,4334,-0.04055,-0.04029,-0.03502,-0.04373,-0.04846
2023-08,-0.117,4346,-0.01188,-0.00531,0.00095,0.00941,0.00864
2023-09,-0.091,4362,-0.01511,-0.01835,-0.00836,-0.00157,-0.00035
2023-10,-0.0012,4372,0.03352,0.0428,0.03796,0.03309,0.03627
2023-11,-0.0058,4434,-0.02098,-0.01922,-0.01747,-0.02309,-0.02075
2023-12,-0.1463,4463,-0.20364,-0.19478,-0.18972,-0.17067,-0.15966
2024-01,0.1019,4495,0.07152,0.06263,0.06273,0.05337,0.04441
2024-02,-0.0677,4512,0.03751,0.04279,0.04449,0.05131,0.06374
2024-03,-0.0435,4524,-0.02372,-0.01138,-0.00524,0.00141,-0.01799
2024-04,-0.0112,4532,-0.00985,-0.009,-0.01091,-0.00874,-0.00904
2024-05,0.0066,4536,-0.08865,-0.07913,-0.07956,-0.08152,-0.08453
2024-06,-0.0511,4549,-0.00203,0.00419,0.00018,0.00516,0.01645
2024-07,-0.0919,4560,-0.0506,-0.04159,-0.03409,-0.03501,-0.03001
2024-08,0.0874,4566,0.24147,0.22987,0.22917,0.21903,0.22697
2024-09,0.0161,4566,0.06372,0.07016,0.06276,0.06276,0.07822
2024-10,0.009,4566,0.04576,0.04181,0.05158,0.05285,0.04102
2024-11,-0.0341,4558,-0.04712,-0.04871,-0.04215,-0.03351,-0.03866
2024-12,0.0532,4564,-0.01391,-0.00587,-0.00837,-0.01784,-0.02402
2025-01,0.0787,4569,0.08907,0.07858,0.0722,0.06348,0.06146
2025-02,0.0176,4572,0.00327,0.00271,0.00888,0.00531,-0.00206
2025-03,-0.0568,4574,-0.03431,-0.02276,-0.01762,-0.02454,-0.01547
2025-04,-0.0282,4576,0.04435,0.05074,0.04998,0.0463,0.05682
2025-05,0.0232,4567,0.05875,0.06625,0.06451,0.05555,0.0653
2025-06,0.0021,4573,0.05361,0.06782,0.05596,0.0587,0.05384
2025-07,0.0144,4584,0.09136,0.09209,0.08764,0.0799,0.08823
2025-08,0.0127,4584,0.02392,0.00976,0.01017,0.01035,0.01131
2025-09,-0.0504,4580,0.01215,0.01463,0.01331,0.01278,0.02516
2025-10,-0.0335,4584,-0.00458,-0.00932,-0.00465,-0.00335,0.00611
2025-11,0.085,4597,0.04284,0.02476,0.0166,0.00942,0.01388
2025-12,-0.0112,4603,0.08017,0.07707,0.08324,0.07751,0.08073
2026-01,0.0053,4609,0.04095,0.04395,0.04161,0.04144,0.03982
2026-02,-0.0708,4610,-0.0955,-0.10474,-0.09367,-0.0881,-0.08018
2026-03,0.0164,4615,0.07527,0.07564,0.07292,0.06065,0.06445
2026-04,0.0138,4618,-0.02266,-0.02471,-0.02891,-0.03126,-0.0347
2026-05,0.0744,4610,-0.0225,-0.02989,-0.03233,-0.0375,-0.06304
2026-06,-0.0947,4618,-0.07931,-0.08739,-0.07268,-0.05678,-0.03483
2026-07,0.0448,4626,0.08699,0.09055,0.08875,0.07313,0.07488
