m,px1000,pe1000,px300,pe300,spread,s1_pct,m,ret1000,ret300,fwd_ret1000,fwd_ret300,diff_bm,s1,c_pct,s2,scomb,retdiv,fwd_retdiv,diff_div,a13,fwd3_ret1000,fwd3_ret300,diff_bm_3m,switch_ret
2020-09,6617.16,31.48,4587.4,13.87,0.8196241892224623,0.6891534391534392,2020-09,-0.08400966217011241,-0.04751028815128888,-0.01601895677299625,0.023527488337620417,0.03954644511061667,False,,False,False,-0.046665307574193404,0.008649263493146986,0.024668220266143237,-0.050070635404717456,0.004429392669967225,0.13600078475825095,0.13157139208828372,-0.01601895677299625
2020-10,6511.16,29.35,4695.33,13.92,0.7459658913678319,0.5026455026455027,2020-10,-0.01601895677299625,0.023527488337620417,0.01707837006002011,0.056422019325585326,0.03934364926556522,False,,False,False,0.008649263493146986,0.08661928787465278,0.06954091781463267,0.0038162386125806247,-0.03179771346426752,0.13984746546036164,0.17164517892462916,0.01707837006002011
2020-11,6622.36,29.45,4960.25,14.71,0.6941663754842495,0.33465608465608465,2020-11,0.01707837006002011,0.056422019325585326,0.0036406960660551047,0.05061035230079125,0.046969656234736146,False,,False,False,0.08661928787465278,-0.04612667139909743,-0.049767367465152534,0.02857057020282805,-0.044842020065354316,0.07590544831409707,0.12074746837945138,0.0036406960660551047
2020-12,6646.47,29.49,5211.29,15.66,0.6329415322645278,0.11507936507936507,2020-12,0.0036406960660551047,0.05061035230079125,-0.051508545137494144,0.026993316434126724,0.07850186157162087,False,,False,False,-0.04612667139909743,-0.0356798582989345,0.015828686838559647,-0.048067535148751395,-0.05312293593441331,-0.03126481159175565,0.02185812434265766,-0.051508545137494144
2021-01,6304.12,28.23,5351.96,15.95,0.5709264130345444,0.037037037037037035,2021-01,-0.051508545137494144,0.026993316434126724,0.003375570261987315,-0.002840081017047913,-0.006215651279035228,False,,False,False,-0.0356798582989345,0.061828405865123726,0.05845283560313641,-0.05090087947221433,0.012376033451140023,-0.042689033550325495,-0.05506506700146552,0.003375570261987315
2021-02,6325.4,28.25,5336.76,15.87,0.5766629230541322,0.062169312169312166,2021-02,0.003375570261987315,-0.002840081017047913,-0.00506054953046442,-0.05404027912066511,-0.048979729590200694,False,,False,False,0.061828405865123726,0.025837190423366074,0.030897739953830494,0.010897899784381826,0.07730104025041906,-0.000972500168641699,-0.07827354041906076,-0.00506054953046442
2021-03,6293.39,27.69,5048.36,14.61,0.6393651114202624,0.2037037037037037,2021-03,-0.00506054953046442,-0.05404027912066511,0.014102097597638252,0.014882060708824252,0.0007799631111859995,False,,False,False,0.025837190423366074,0.026785714285714413,0.01268361668807616,0.014912856728167556,0.12557778875931724,0.034799420009666626,-0.09077836874965062,0.014102097597638252
2021-04,6382.14,24.67,5123.49,13.52,0.6014178599264474,0.13756613756613756,2021-04,0.014102097597638252,0.014882060708824252,0.0677233655168954,0.04061294156912565,-0.027110423947769746,False,,False,False,0.026785714285714413,0.050081710884696706,-0.01764165463219869,0.000995567319586721,0.137922389668669,-0.060958448245238994,-0.19888083791390798,0.0677233655168954
2021-05,6814.36,26.37,5331.57,14.09,0.6267616744546065,0.20105820105820105,2021-05,0.0677233655168954,0.04061294156912565,0.03952535527914591,-0.020168543224603597,-0.05969389850374951,False,,False,False,0.050081710884696706,-0.009862183052723128,-0.04938753833186904,0.012066903049297917,0.1341373217734314,-0.0986501161946669,-0.2327874379680983,0.03952535527914591
2021-06,7083.7,28.68,5224.04,14.32,0.69454285419892,0.5066137566137566,2021-06,0.03952535527914591,-0.020168543224603597,0.02522410604627523,-0.07903270265924456,-0.10425680870551979,False,,False,False,-0.009862183052723128,-0.05723794000077609,-0.08246204604705132,0.02603491139998293,0.04542258988946468,-0.06846425371934362,-0.1138868436088083,0.02522410604627523
2021-07,7262.38,28.83,4811.17,13.12,0.7872787281343677,0.7764550264550265,2021-07,0.02522410604627523,-0.07903270265924456,0.06417180042906034,-0.0011556440533176948,-0.06532744448237804,True,,False,False,-0.05723794000077609,0.10858446041210823,0.044412659983047886,-0.01552125853590336,0.016925580870183143,0.02028612582802114,0.0033605449578379964,-0.0011556440533176948
2021-08,7728.42,29.18,4805.61,12.41,0.8549809438781237,0.8783068783068783,2021-08,0.06417180042906034,-0.0011556440533176948,-0.04178861914854526,0.01264563707833144,0.0544342562268767,True,,False,False,0.10858446041210823,-0.02611038288296641,0.01567823626557885,0.053424819135343915,0.04216515147986266,0.005497741181660576,-0.036667410298202086,0.01264563707833144
2021-09,7405.46,28.25,4866.38,12.61,0.8066033076156218,0.7632275132275133,2021-09,-0.04178861914854526,0.01264563707833144,-0.0027223156967967066,0.008710787073759274,0.01143310277055598,True,,False,False,-0.02611038288296641,-0.05351025193743031,-0.0507879362406336,0.0014049175352732757,0.08167757303395051,0.015204320254480708,-0.0664732527794698,0.008710787073759274
2021-10,7385.3,27.17,4908.77,12.67,0.7628764291052088,0.6746031746031746,2021-10,-0.0027223156967967066,0.008710787073759274,0.09058399794185745,-0.015633244173184013,-0.10621724211504147,False,,False,False,-0.05351025193743031,0.01600307774736276,-0.0745809201944947,-0.010017757363738888,-0.055825761986649125,-0.07028237216247657,-0.014456610175827445,0.09058399794185745
2021-11,8054.29,29.22,4832.03,12.25,0.8693274693318174,0.8928571428571429,2021-11,0.09058399794185745,-0.015633244173184013,-0.005459202487121839,0.022421218411309507,0.027880420898431346,True,,False,False,0.01600307774736276,0.03286599049982941,0.03832519298695125,0.07213945123245047,-0.0787729272226354,-0.05181673127029429,0.02695619595234111,0.022421218411309507
2021-12,8010.32,28.08,4940.37,13.37,0.7420441880437585,0.5859788359788359,2021-12,-0.005459202487121839,0.022421218411309507,-0.12949669925795715,-0.07622910834613594,0.053267590911821205,False,,False,False,0.03286599049982941,-0.038419163515614474,0.09107753574234267,0.025267337822473923,-0.154581839427139,-0.14528668905365383,0.009295150373485161,-0.12949669925795715
2022-01,6973.01,24.62,4563.77,12.44,0.6826420334452741,0.3333333333333333,2022-01,-0.12949669925795715,-0.07622910834613594,0.0640784969475161,0.0039178135620330234,-0.06016068338548308,False,,False,False,-0.038419163515614474,0.041800572484799625,-0.02227792446271648,-0.03752659848473672,-0.17761626614618375,-0.11997318006823321,0.057643086077950545,0.0640784969475161
2022-02,7419.83,25.82,4581.65,12.57,0.7198363628163403,0.4828042328042328,2022-02,0.0640784969475161,0.0039178135620330234,-0.08730119153673332,-0.07836696386672903,0.008934227670004291,False,0.2671957671957672,False,False,0.041800572484799625,0.016119483057585926,0.10342067459431925,0.03033794418983815,-0.14373375131236155,-0.10697674418604641,0.03675700712631513,-0.08730119153673332
2022-03,6772.07,23.46,4222.6,11.72,0.6940000590764629,0.35185185185185186,2022-03,-0.08730119153673332,-0.07836696386672903,-0.1532146005578796,-0.04887036423056901,0.1043442363273106,False,0.25793650793650796,False,False,0.016119483057585926,-0.05356119231871603,0.09965340823916358,-0.036579067816901345,0.03299729624767611,0.06214417657367499,0.02914688032599888,-0.1532146005578796
2022-04,5734.49,20.27,4016.24,11.21,0.59233572337984,0.05555555555555555,2022-04,-0.1532146005578796,-0.04887036423056901,0.10791892565860262,0.018743899766946237,-0.08917502589165638,False,0.26455026455026454,False,False,-0.05356119231871603,0.010220691221561884,-0.09769823443704073,-0.04587551729159711,0.24116181212278698,0.038309463577874014,-0.20285234854491296,0.10791892565860262
