,V1_net,V1_cash_gross,V1_net_g15,V1_net_g30,V2_net,V3_net,BH_same
202306,2.3620571972693423,2.423245512632614,2.3772118831261846,2.3320291858627793,1.4989315978474167,3.0294229034177946,4.02197802197802
202307,2.424415026610391,2.487513103783016,2.4400419956048305,2.393452621431024,1.5315630742380983,3.1508205425347184,4.18315018315018
202308,2.421424800791158,2.484446966811652,2.4370329648574636,2.390499663809695,1.5433843517191566,3.1425434307767466,4.172161172161169
202309,2.3477865416833885,2.409206761984627,2.3629972001111788,2.317650507007486,1.4662731005229865,2.977001195617304,3.9523809523809494
202310,2.313222051775538,2.3738623561340426,2.328239260909795,2.283469885730279,1.4264942900766822,2.902507189795555,3.853479853479851
202311,2.442061742877345,2.5062534407781536,2.457958007553299,2.410568826245413,1.5123462305221624,3.1811699523139496,4.223443223443221
202312,2.518485214783465,2.584984249189021,2.5349521295212845,2.485863196186404,1.5725245326171424,3.3356760384627626,4.428571428571426
202401,2.591846625187185,2.6603027070355783,2.608798107221064,2.558264744551896,1.6317840393299916,3.48466405010626,4.626373626373622
202402,2.6410158420302223,2.7109323442289432,2.6583285627501936,2.606719111539724,1.7283613659014574,3.5812303539492687,4.754578754578751
202403,2.692637303093388,2.763923156414419,2.710289095651601,2.6576688801914976,1.8087649106617687,3.6833147322975917,4.890109890109886
202404,2.644020784498136,2.714115592621138,2.6613774132778865,2.6096375519548354,1.717611818256501,3.5784713166966116,4.7509157509157465
202405,2.707034740103664,2.7790364121929025,2.7248629550896504,2.671718453030449,1.7470480043366905,3.71642317932948,4.93406593406593
202406,2.8700771587495715,2.946815770651771,2.889077286027806,2.832441361532354,1.87314708044167,4.044748612395708,5.369963369963366
202407,2.7960557810048225,2.8708481607521885,2.814573948078559,2.7593748208550593,1.862787755923267,3.8874834889942376,5.161172161172158
202408,2.797852717020643,2.8735430267730138,2.816591086217824,2.7607397513694183,1.881147159085984,3.890242526246895,5.164835164835162
202409,2.7862602193874464,2.8629229048406946,2.8052360738699713,2.748683273410664,1.8464467980398267,3.8323027439410904,5.087912087912085
202410,2.826901364778092,2.904797961194505,2.8461823455120236,2.78872077531824,1.8903596642167335,4.019917277121792,5.336996336996334
202411,2.8712156270705416,2.950459135867977,2.8908296731219543,2.8323761297126597,1.9617821887749967,4.2185679593131225,5.600732600732597
202412,2.9535252688389364,3.036074534713163,2.9739548868703882,2.9130760107602938,1.9473450913911612,4.469640349304944,5.934065934065931
202501,2.9439889953563956,3.026847678801166,2.9644936923303282,2.903394030100782,1.9545545703603693,4.44204997677837,5.897435897435894
202502,2.841174932372358,2.921162478289477,2.860969061735322,2.801986856865701,1.914123556547305,4.166146251512632,5.531135531135528
202503,2.7177742939833975,2.794475791565828,2.736754748878307,2.6801980847378966,1.876193004001909,3.862652153720321,5.128205128205125
202504,2.717451824912429,2.7975059194317087,2.737253092858126,2.6782679621799956,1.876945631242526,3.8591152306336154,5.289377289377286
202505,2.720317316718386,2.800455826479097,2.7401394646555977,2.6810921354843487,1.8789248281788782,3.8631845808131646,5.688644688644684
202506,2.750047758543401,2.8323674550488103,2.7704058522959745,2.709769027785849,1.8807380278209016,4.0320751499887795,5.948717948717945
202507,2.7875006266543787,2.8711799126851787,2.8081942924284635,2.746559262309699,1.9075037757889473,4.223251126927902,6.230769230769226
202508,2.7714926506459276,2.8578183891442532,2.7928320788801857,2.72929076366379,1.9101598851448742,4.198423077974769,6.19413919413919
202509,2.9211403931945554,3.0121303366865435,2.943632788311048,2.8766583601126907,1.9850339736236615,4.474014421354544,6.600732600732597
202510,3.146719554323717,3.244806359229965,3.1709660659932672,3.0987688946195124,2.1234639744158383,4.888642838871863,7.212454212454208
202511,3.101412055515776,3.1990060671034057,3.125534100026673,3.0537127503876467,2.122462922519466,4.786847838164017,7.062271062271058
202512,3.0798531734376065,3.177985024056891,3.10410461604012,3.0319049382149394,2.116055597914744,4.719812105990559,6.963369963369959
202601,3.060125732629697,3.157760860885879,3.0842540316075877,3.012421729601589,2.1117336357745176,4.6527763738171,6.8644688644688605
202602,3.007525253986258,3.1039995852434124,3.0313651636019303,2.9603944166009706,2.0858946214290417,4.50877368988893,6.652014652014648
202603,2.838099210335277,2.9300604289875913,2.8608211487196007,2.7931839257829845,1.9087378565111417,4.151249784963816,6.1245421245421205
202604,2.8364290493054156,2.93249558322989,2.8601529018953022,2.7895576332392995,1.9066452837038002,4.146397362199365,7.161172161172157
202605,3.024343353173125,3.1295092958100015,3.050305793645059,2.9730658607618614,1.9602372010831806,4.731961990194056,8.18681318681318
202606,3.006142604675704,3.111073576139904,3.0320457648369565,2.9549846874886354,1.9344462143679941,4.657859677148512,8.058608058608053
202607,2.9730793158058813,3.0777058880327592,2.998904605107033,2.922080532234437,1.9498210093509043,4.46095924534178,7.717948717948713
202608,3.0162212539846287,3.122389393907787,3.042426977543777,2.9644713513807353,2.04442194970365,4.70020385603168,8.131868131868126
