ym,a4b_s1a_peg2,a4b_s1b_peg15,a4b_s1c_pegq60,a4b_s2a_gqblend,a4b_s2b_gqrank,a4b_s2c_growdom
2013-11,-0.04971218740883757,-0.05838486276933415,-0.04017021775608699,0.06209415377476328,0.04287368458694532,0.07947317142945962
2013-12,0.30212085649765985,0.30932396548418706,0.32150033489951946,0.2118607611826747,0.15534627033549944,0.13943084007397474
2014-01,-0.15554854236225904,-0.13501028851110644,-0.11080927907683906,0.06657805251817767,0.06051919350533838,0.09687768578414756
2014-02,-0.057649977778830665,-0.053982783596001505,-0.06988425182813626,-0.07736348976428692,-0.08379921816308049,-0.09699583010507642
2014-03,0.09174736277710668,0.10602324220611335,0.04714426650353239,0.11685233954928446,0.10271815708938732,0.08235907561865462
2014-04,0.04698426573426573,0.04698426573426573,0.054938632378725906,0.13858264943115778,0.048641782294313075,0.07708428727413617
2014-05,0.1575611888111888,0.1672161172161172,0.21797676008202327,0.09572615322965954,0.04486060663238832,0.053912426983955736
2014-06,-0.2466800804828974,-0.2366094263792474,-0.21284562211981567,-0.2156532716179255,-0.2187841217287169,-0.12777456343362087
2014-07,0.40846189681916606,0.4059223194622915,0.36919706377814815,0.11887267012495964,0.01568005887115361,0.12292116277871934
2014-08,0.2315518049695265,0.2315518049695265,0.2030863872969136,0.01125115512494403,-0.046360582306830905,-0.05073975630436232
2014-09,0.06077561257958712,0.05878604963112004,0.052944993701568875,0.042102659245516386,0.08900707970835829,0.007470624613481756
2014-10,-0.1045832742990511,-0.1045832742990511,-0.154516711833785,-0.11362170303592403,-0.10056926582999788,-0.16660716053828525
2014-11,-0.4700410396716826,-0.4700410396716826,-0.46052508204406944,-0.34642594151062484,-0.19474542394277297,-0.2465811066694719
2014-12,0.15383133421555176,0.15383133421555176,0.16197105584257515,0.14148208046517033,0.12206645777165652,0.14207154714896866
2015-01,0.24437057125360861,0.24437057125360861,0.2300645112035729,0.1344021070732796,0.06217253839205058,0.04006268978352435
2015-02,0.10367404497494395,0.10367404497494395,0.11420222092343661,0.08472417623102552,0.09375786745649757,0.11360236949278044
2015-03,-0.16689895470383279,-0.16689895470383279,-0.16417004048582998,0.09943551888840642,0.012809379070777246,0.13221884498480244
2015-04,0.4590626764539809,0.4590626764539809,0.4590626764539809,0.22364532019704428,0.2661782661782661,0.13103448275862067
2015-05,,,,0.13082706766917293,,0.19548872180451127
2015-06,-0.10692307692307691,-0.09304347826086956,-0.09304347826086956,0.138217164532954,0.17338217338217338,0.06875296348980559
2015-07,-0.24315196998123828,-0.19453441295546559,-0.19453441295546559,-0.17047163362952839,-0.11461794019933555,-0.020164046479835954
2015-08,0.18189176688251618,0.18189176688251618,0.22384716732542817,-0.02822190611664296,-0.24764627406136838,-0.07852062588904693
2015-09,0.575656108597285,0.575656108597285,0.5834813925570228,0.3173464603844351,0.2365657126979717,0.18816221284575718
2015-10,0.5298448299166375,0.5506337389255488,0.5506337389255488,0.2387819810596953,0.14750376289909112,0.0684112859699849
2015-11,-0.052720450281425905,-0.049348944085786196,-0.049348944085786196,0.1874489795918367,0.15678524374176547,0.17183673469387753
2015-12,-0.03279352226720648,-0.06164058795637742,-0.06164058795637742,-0.09444203213200174,-0.11567852437417656,-0.0121580547112462
2016-01,-0.11697514542570066,-0.11697514542570066,-0.11817650496785506,-0.15021097046413504,-0.06814029959810011,-0.09648382559774965
2016-02,0.4440263061746438,0.4440263061746438,0.4527097134647618,0.2676063067367416,0.23812074001947423,0.20181557572861922
2016-03,0.17659615018105582,0.17659615018105582,0.18261760437121144,0.14637237762237762,0.04902168164992067,0.15795454545454546
2016-04,0.16260869565217392,0.16260869565217392,0.15612648221343872,0.3016862170087976,0.2694281524926686,0.27419354838709675
2016-05,0.7322580645161291,0.7303670745272525,0.7384236453201969,0.5514461830251304,0.49905168326220956,0.3733997155049786
2016-06,-0.5982202447163515,-0.6822660098522165,-0.6822660098522165,-0.5305668016194333,-0.46164788270051427,-0.47854251012145754
2016-07,0.33503746843139054,0.33503746843139054,0.3386049364301867,0.3020349607619425,0.24115716562884332,0.24834824648650722
2016-08,-0.0755131964809384,-0.06895161290322582,-0.06895161290322582,0.1627906976744186,0.17700348432055754,0.09528843249773483
2016-09,0.21187683284457476,0.18750000000000003,0.18750000000000003,0.30026350461133067,0.158252977878616,0.27957839262187084
2016-10,-0.06328498500931853,-0.03623693379790941,-0.012091038406827879,-0.05972850678733031,-0.04061224489795918,-0.04334841628959276
2016-11,-0.20060728744939274,-0.2196082722398512,-0.30970206264323913,-0.38862353452019105,-0.4082022818378045,-0.40208423795049936
2016-12,-0.26837944664031615,-0.3045806906272022,-0.3136960600375235,-0.2505772005772006,-0.2268182551201419,-0.23542568542568548
2017-01,0.4140841813135985,0.40252852297255626,0.3695810712259947,0.28117708063261604,0.30870973889841813,0.31332641949701845
2017-02,0.1456059204440333,0.13873517786561262,0.1439024390243903,0.1367053998632946,0.11111111111111109,0.1284347231715653
2017-03,-0.07357293868921776,-0.09966777408637874,-0.17732793522267204,-0.048325791855203616,0.08612244897959181,-0.03085972850678733
2017-04,-0.1835897435897436,-0.1835897435897436,-0.1835897435897436,-0.054838709677419356,-0.020689655172413793,-0.019354838709677424
2017-05,-0.14866310160427806,-0.14866310160427806,-0.1378299120234604,-0.11386288130474177,-0.19225298172666597,-0.0957414678344911
2017-06,-0.30450725744843393,-0.30450725744843393,-0.3148395721925134,-0.26129216695254426,-0.2468641114982579,-0.13016962073565844
2017-07,0.2904315196998124,0.2904315196998124,0.2722672064777328,0.16507866828449777,0.15043940795559665,0.04577426145831473
2017-08,0.014950166112956811,0.014950166112956811,0.02307692307692308,0.09512576975263545,0.11085972850678733,0.09796472184531888
2017-09,0.01147689519782543,0.01147689519782543,-0.032270168855534714,0.21169354838709678,0.18684273709483792,0.15567396313364057
2017-10,-0.5256018720960669,-0.5256018720960669,-0.5605800971347936,-0.3309660353189778,-0.27175463000453753,-0.21024067150642542
2017-11,-0.388623316981526,-0.388623316981526,-0.37302007000579185,-0.2673050615595075,-0.17490404332509593,-0.20250146570256009
2017-12,-0.40174825174825174,-0.40174825174825174,-0.41722700750208397,-0.17794235577149867,-0.08804771178188901,-0.15690362752960044
2018-01,0.09679487179487178,0.13604070660522277,0.15724656468758103,0.0742594484167518,0.07125785606798264,0.059193054136874375
2018-02,0.6292821102947685,0.6186445133813554,0.6120724346076458,0.4866104769017391,0.4538785197971733,0.39621252533873896
2018-03,0.028281788876314856,0.05926042569053366,0.0384401053356135,0.09629756449178292,0.08521861505938422,-0.004053209321617259
2018-04,0.002766798418972332,0.002766798418972332,0.07473867595818817,0.057540720440826046,0.08551212532227095,0.060210321263786
2018-05,-0.2995475113122172,-0.2995475113122172,-0.31897233201581027,0.06364468864468864,0.15540619520748103,0.14913003663003663
2018-06,-0.11371562709590878,-0.1491907969556469,-0.14405076679005815,-0.05683090705487122,-0.04975194897236002,-0.02819148936170213
2018-07,-0.11762132604237868,-0.14005689900426743,-0.15413978699851125,0.03378854155553185,-0.026071030418856507,0.07455457164195028
2018-08,-0.30593933802329604,-0.3084619735178655,-0.28464074277216417,-0.21775247374480358,-0.17475044039929535,-0.1745225570728927
2018-09,0.138676296965067,0.1368295643573259,0.09562573348981117,0.06189605028614316,0.07530484830748221,-0.005947355018562448
2018-10,0.18562539310336404,0.1835407798097803,0.23391257028840923,0.1728026024049588,0.12859086525213556,0.14083898428522873
2018-11,0.09740302924501638,0.11679948435485761,0.1294550277308898,-0.03805442228471014,-0.04319941815197982,-0.09691587789209816
2018-12,-0.29774782752806866,-0.29888962325729457,-0.28536773532080106,-0.13133627658607488,-0.10667515306717884,-0.04283692813953719
2019-01,0.19872251768189048,0.19269139832192997,0.1883803935017592,0.14566753107395153,0.13386179389767403,0.11561681634113005
2019-02,0.1258670791151106,0.11044546850998464,0.11283831768326365,0.19945244039987275,0.19576219717929683,0.23503610230109995
2019-03,0.028491555037856726,0.031419141914191415,0.0080092192451743,0.01961116379894323,0.030605608996070986,0.042832949464842146
2019-04,0.07575757575757577,0.07575757575757577,0.10904255319148937,0.03693465138658035,0.008835622430233576,-0.023182573703088093
2019-05,0.08987149812435152,0.09925895000521869,0.1172290750253776,0.19934091767767936,0.19363089213221452,0.21275345283573316
2019-06,0.08227986846912679,0.07371073023628659,0.11544156530936012,-0.09615008794215361,-0.14854540111666176,-0.09575923392612859
2019-07,0.1927064050351722,0.182729711602951,0.22206221198156684,0.19698996655518394,0.18917966961361,0.12709030100334448
2019-08,0.22003460998465407,0.221386630532972,0.23015721120984278,0.17443848118443556,0.13296486011955072,0.19340184450240563
2019-09,0.05704422160118362,0.05704422160118362,0.08457135507106567,0.021558441558441555,0.007810059356451108,0.03965367965367965
2019-10,-0.1940251800910726,-0.19376481095781609,-0.2234120743458492,-0.20186176740269957,-0.1965920367828279,-0.15191601059171297
2019-11,0.08969511501157071,0.08930543141069457,0.05537573265681042,0.12300556586270871,0.12365708084644601,0.13862708719851577
2019-12,0.4146985407066053,0.428017425902143,0.3924812030075188,0.2405766526019691,0.13980756086019244,0.17857477730895455
2020-01,0.1885647216633132,0.1885647216633132,0.10146520146520144,0.16824299296209408,0.2313409178965165,0.15704819525044245
2020-02,0.027256119839240048,0.024773829064396683,0.0004800307219662059,-0.0049370105549880845,0.04024203543048771,-0.02199523323118829
2020-03,0.23308270676691728,0.23589883800410116,0.23562243023357538,0.09996717495747663,0.05900621118012423,0.11345528333979885
2020-04,0.0072829131652661075,-0.018487394957983194,-0.03922287390029325,0.07512332628611698,0.17396556931440652,0.06525722339675827
2020-05,0.5895652173913043,0.5895652173913043,0.5895652173913043,0.3733997155049786,0.25414888572783306,0.39592223802750115
2020-06,-0.4812030075187969,,,-0.1625,-0.189321468298109,-0.07338709677419356
2020-07,,,,-0.0652991452991453,-0.10769230769230768,-0.14188034188034188
2020-08,,,,-0.35488721804511275,-0.4857142857142857,-0.38195488721804516
2020-09,0.17792207792207793,0.17792207792207793,0.3413533834586466,-0.09742747673782157,0.001221001221001221,-0.10673234811165844
2020-10,-0.17538461538461536,-0.17538461538461536,-0.20615384615384616,-0.012684989429175477,-0.028994261552401087,0.026497533474277656
2020-11,0.041739130434782605,-0.0009881422924901185,0.018633540372670808,-0.08937885253674727,-0.08108108108108109,-0.07041251778093882
2020-12,-0.17783251231527092,-0.10946907498631636,-0.1282051282051282,-0.07822410147991543,-0.233615221987315,-0.03326286116983791
2021-01,0.021337126600284494,0.030630630630630633,0.07929717341482047,-0.030156426382841474,-0.08025271066336548,0.012901144976616674
2021-02,-0.2582869855394883,-0.2660098522167487,-0.2660098522167487,-0.26469038208168644,-0.29076814658210004,-0.16073781291172592
2021-03,0.28571428571428564,0.28571428571428564,0.28571428571428564,0.22212825933756164,0.16686801570522497,0.19041578576462298
2021-04,,,,0.1033724340175953,-0.009530791788856303,0.035557184750733134
2021-05,,,,0.1151446398184912,0.15263835263835265,0.22453609918158984
2021-06,,,,-0.07735892691951897,-0.1048582995951417,-0.11817761332099908
2021-07,0.21572649572649572,0.2230769230769231,0.3347826086956522,-0.19855515420950268,-0.18751131221719453,-0.25384829119199787
2021-08,-0.22405372405372403,-0.22405372405372403,-0.3531623931623932,0.07662612374405076,0.020283412058905256,0.08112109994711791
2021-09,0.5168831168831168,0.5168831168831168,0.5799777530589544,0.21765851051647134,0.23394217722575936,0.11646371721952894
2021-10,0.5762827627422522,0.5762827627422522,0.6359183673469387,0.5740359813236687,0.5602755194218609,0.5371621989312262
2021-11,0.02059202059202059,-0.018207282913165267,0.021848739495798315,0.07320389816423661,0.09828510991916597,0.053713076981189094
2021-12,-0.16055718475073313,-0.14919354838709678,-0.14919354838709678,-0.2826340650180606,-0.2906918588496805,-0.1924979160878022
2022-01,-0.05421073732880562,-0.024309101103473785,-0.03503473270915131,-0.15879807791264958,-0.15579058172927276,-0.19272859008372362
2022-02,0.08675958188153311,0.08675958188153311,0.0910931174089069,0.19923016359023707,0.19055200769836408,0.14912081182748665
2022-03,-0.40874914559125086,-0.40874914559125086,-0.4450900360144058,-0.2769869393540549,-0.2698879140254397,-0.30709729675002534
2022-04,0.1827930978874375,0.17655596345940405,0.1596899224806201,-0.05054723502304148,0.024049539170506912,-0.08064516129032259
2022-05,0.2266550522648084,0.2266550522648084,0.24247104247104248,0.33695078031212483,0.19471788715486196,0.3759423769507803
2022-06,0.5470418470418471,0.5515913855536497,0.583950046253469,0.23804723502304148,0.07642718642189822,0.2441436251920123
2022-07,-0.17224489795918363,-0.16630481980026052,-0.21264822134387348,-0.26657404834676307,-0.1240794856808884,-0.29797165879410953
2022-08,-0.17850661135597615,-0.17053998632946002,-0.17053998632946002,-0.2482197533024232,-0.21644650511766253,-0.28650161840608873
2022-09,0.5639286087047282,0.5639286087047282,0.5433175882189497,0.3226020613619791,0.24299909665763325,0.23636007444411794
2022-10,0.0815018315018315,0.0815018315018315,0.14319111630625367,0.004290876242095754,0.012240289069557363,0.01093044263775971
2022-11,-0.1143877551020408,-0.1143877551020408,-0.05638998682476943,-0.08832063458929133,-0.07809205719653482,-0.10539609644087257
2022-12,0.07329813837176995,0.07329813837176995,0.08264194970184083,0.11645569620253166,0.1307205452775073,0.12390457643622199
2023-01,0.23081632653061224,0.23081632653061224,0.19950662966389143,0.2935387864823349,0.31192396313364057,0.26651305683563753
2023-02,0.24327997583811536,0.24327997583811536,0.20679442508710807,-0.026608016241656162,-0.08905226245039835,-0.026731059091328557
2023-03,-0.18423973362930074,-0.18423973362930074,-0.20918367346938774,-0.07220540653376477,-0.00983195908569043,-0.12547750756705983
