ym,EP~log_mv,EP~amt20,EP~pb_inv,EP~roe_ttm,BP~log_mv,BP~amt20,BP~pb_inv,BP~roe_ttm,DP~log_mv,DP~amt20,DP~pb_inv,DP~roe_ttm,SP~log_mv,SP~amt20,SP~pb_inv,SP~roe_ttm,EP_stab~log_mv,EP_stab~amt20,EP_stab~pb_inv,EP_stab~roe_ttm,EP_impr~log_mv,EP_impr~amt20,EP_impr~pb_inv,EP_impr~roe_ttm
2021-07,-0.10827781275125653,-0.1386312233915737,-0.4981632158558311,0.586761108269118,-0.32082453278809914,-0.44175441052890635,-1.0,-0.15556716431778225,0.03474879112250416,-0.09210290129069806,-0.333660641579871,0.3766796893149877,-0.24733926306609785,-0.2818128216439831,-0.6604075971251311,0.16097123508296415,0.07686964824810176,-0.06527045367593688,-0.3042710161737638,0.0922495172261922,0.06532143718030223,0.05412427717931545,0.061281476569887444,0.3606600680217499
2021-08,-0.08118310191365495,-0.0743433059090197,-0.453792167549494,0.5615107953766837,-0.32263097083156866,-0.44753324214081,-1.0,-0.23496089773398016,0.02326999584685193,-0.08538942269299285,-0.3439531228335767,0.2901831197079253,-0.24844007122805986,-0.261485109561742,-0.5874871719194312,0.16177689607114373,0.07491683157434985,-0.039528812575321745,-0.31436008421471817,0.09329581966813526,0.10660499995087017,0.13272907256210276,0.0677449484537854,0.373666960575277
2021-09,-0.0927776834909994,-0.04656075154477891,-0.4437354170076057,0.5731221897149631,-0.3168487442221038,-0.33392581176964287,-1.0,-0.23355258477453442,0.022530035241952476,-0.05017583327174308,-0.33411941568313813,0.29356532609280556,-0.2569693358277299,-0.2223449080441292,-0.5800374726998974,0.16981201333118798,0.07297719175382236,0.016199007937672875,-0.31114770695283556,0.09272052764981152,0.10431963283763379,0.13441273982863314,0.07041803653310952,0.373553400933444
2021-10,-0.09093967806720281,-0.0326699677515566,-0.41817071264667927,0.6010220855418009,-0.33140857098318177,-0.3841398295658571,-1.0,-0.2532276440687967,0.019917884066882163,-0.05267642943125468,-0.3350421714268478,0.24551428946681406,-0.27846239460167194,-0.23271997119632284,-0.6055494909986415,0.14842416341031806,0.05545622672123953,-0.02609113055963749,-0.2973881933347789,0.12072805050486632,0.14580008178742765,0.1707069102831492,0.059284897202065916,0.4330430856877367
2021-11,-0.08716046994846476,-0.04092309868722897,-0.4264304881258867,0.600713338698523,-0.31512888827050606,-0.4433366460728369,-1.0,-0.2410991818998712,0.040352351372817105,-0.06770432541168431,-0.33501066699225746,0.23775461480020554,-0.26789041833056015,-0.24645369400399053,-0.6127731987619003,0.15904725565902997,0.06255550747518637,-0.04116247351141689,-0.2966547534873511,0.11326143185485224,0.14018656675073943,0.15366351223163105,0.04113182957436692,0.4377681876237109
2021-12,-0.10663852913831494,-0.08156899078389791,-0.4307637856774717,0.6137688663781183,-0.30648510421450403,-0.3674547360661497,-1.0,-0.22996359986420845,0.048304722129320035,-0.07166670932383412,-0.32343274079039586,0.22922933550789285,-0.2736173894397805,-0.2286137929111193,-0.6074792224010522,0.170174635487043,0.05780847437390272,-0.03669761538750812,-0.2979382499554818,0.10923630355864204,0.12599642227962726,0.12527155264826237,0.034161490102374986,0.4421902243829945
2022-01,-0.10949190109184587,-0.08190882305264624,-0.4255416421419112,0.6291870728827346,-0.28558490955564864,-0.30911562636410167,-1.0,-0.22711476229571229,0.06842703371253606,-0.04328488594302506,-0.30627742652353357,0.22055330007214224,-0.26760537971563575,-0.20673079309014325,-0.5933426578430749,0.18223954600963757,0.06427728207413956,-0.04125112530396699,-0.2976754120774391,0.10864987501394537,0.11755809116243429,0.09585728114206084,0.025690367387964506,0.4479922466575949
2022-02,-0.11667725728823772,-0.10650827600141075,-0.4288101856795349,0.6288079283624692,-0.28404078952855366,-0.29680126937308277,-1.0,-0.22368661068850354,0.07043843311899259,-0.06532463708746152,-0.30646581451066807,0.21129346114504202,-0.2735673245197023,-0.21030714540348316,-0.5967574975136235,0.18744559439646846,0.06567123507974248,-0.03936508852842189,-0.29798272794385583,0.10576143116134526,0.1172558505473833,0.0840313053992523,0.02672798521692086,0.44696143477811967
2022-03,-0.12476139736663518,-0.10898342555615785,-0.4337942191546605,0.6486566393090585,-0.25921005059669605,-0.2869698266967958,-0.9999999999999998,-0.2020767376278428,0.08353012786413433,-0.05156021918410462,-0.2953432768612935,0.2071590767285887,-0.27063236739756275,-0.21367764846388257,-0.5897117721635747,0.20908864214980946,0.07185139184102039,-0.03002203217460188,-0.29492249091830014,0.11263751198256393,0.11019449364078511,0.08240167335022239,0.01865327698189077,0.45286061509046077
2022-04,-0.08969342327453168,-0.006278351882439433,-0.4741207046033225,0.6417931791649588,-0.3510938959515507,-0.2594377729427088,-1.0,-0.1472729386110639,0.0954507033638883,0.009333498555898788,-0.28741304806392737,0.1861822538821802,-0.24277575803375118,-0.11674837999549498,-0.6088430207547968,0.2107032617397541,0.09481698469060142,0.013525520630100273,-0.22855254614333062,0.08444890167635213,0.18761680376120216,0.16686328508149087,0.027440749387970965,0.4298648024276138
